model,algorithm,nbits,group_size,boost_stop,top_m,n_boosted_pairs,ppl_wikitext,pred_time_wikitext,train_duration,ppl_mem_allot,ppl_mem_reserved
Llama-2-13b-hf,HQQ+,1,8,,,0,9.2214,0.274,5156.1,10430814720,11477712896
Llama-2-13b-hf,HQQ+,2,8,,,0,4.9308,0.278,5249.29,12016523776,13184794624
