layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
1,self_attn.q_proj,4,64,8,128,12.359375,34.03125,67108864
1,self_attn.q_proj,4,128,8,128,14.8828125,33.015625,67108864
1,self_attn.q_proj,8,32,8,128,0.60888671875,68.0625,67108864
1,self_attn.q_proj,8,64,8,128,0.74755859375,66.03125,67108864
1,self_attn.q_proj,8,128,8,128,0.8974609375,65.015625,67108864
1,self_attn.v_proj,2,32,8,128,9.65625,2.5078125,8388608
1,self_attn.v_proj,2,64,8,128,11.4765625,2.25390625,8388608
1,self_attn.v_proj,2,128,8,128,13.1328125,2.126953125,8388608
1,self_attn.v_proj,3,32,8,128,4.1328125,3.5078125,8388608
1,self_attn.v_proj,3,64,8,128,4.921875,3.25390625,8388608
1,self_attn.v_proj,3,128,8,128,5.65625,3.126953125,8388608
1,self_attn.v_proj,4,32,8,128,1.927734375,4.5078125,8388608
1,self_attn.v_proj,4,64,8,128,2.296875,4.25390625,8388608
1,self_attn.v_proj,4,128,8,128,2.640625,4.126953125,8388608
1,self_attn.v_proj,8,32,8,128,0.11676025390625,8.5078125,8388608
1,self_attn.v_proj,8,64,8,128,0.138916015625,8.25390625,8388608
1,self_attn.v_proj,8,128,8,128,0.1591796875,8.126953125,8388608
1,self_attn.k_proj,2,32,8,128,32.03125,2.5078125,8388608
1,self_attn.k_proj,2,64,8,128,38.46875,2.25390625,8388608
1,self_attn.k_proj,2,128,8,128,43.8125,2.126953125,8388608
1,self_attn.k_proj,3,32,8,128,14.2734375,3.5078125,8388608
1,self_attn.k_proj,3,64,8,128,17.796875,3.25390625,8388608
1,self_attn.k_proj,3,128,8,128,21.3125,3.126953125,8388608
1,self_attn.k_proj,4,32,8,128,6.671875,4.5078125,8388608
1,self_attn.k_proj,4,64,8,128,8.34375,4.25390625,8388608
1,self_attn.k_proj,4,128,8,128,10.0234375,4.126953125,8388608
1,self_attn.k_proj,8,32,8,128,0.403076171875,8.5078125,8388608
1,self_attn.k_proj,8,64,8,128,0.50390625,8.25390625,8388608
1,self_attn.k_proj,8,128,8,128,0.603515625,8.126953125,8388608
1,self_attn.o_proj,2,32,8,128,27.6875,20.0625,67108864
1,self_attn.o_proj,2,64,8,128,32.53125,18.03125,67108864
1,self_attn.o_proj,2,128,8,128,37.15625,17.015625,67108864
1,self_attn.o_proj,3,32,8,128,11.90625,28.0625,67108864
1,self_attn.o_proj,3,64,8,128,14.0859375,26.03125,67108864
1,self_attn.o_proj,3,128,8,128,16.234375,25.015625,67108864
1,self_attn.o_proj,4,32,8,128,5.5625,36.0625,67108864
1,self_attn.o_proj,4,64,8,128,6.58984375,34.03125,67108864
1,self_attn.o_proj,4,128,8,128,7.62109375,33.015625,67108864
