dataset,part,model,nbits,group_size,layer,sensitivity
pileval,attn_in,Llama-2-7b-hf,3,32,18,0.0005806251429021358
pileval,attn_out,Llama-2-7b-hf,3,32,18,0.000372476177290082
pileval,mlp_gate,Llama-2-7b-hf,3,32,18,0.0012110196985304356
pileval,mlp_down,Llama-2-7b-hf,3,32,18,0.0011813269229605794
pileval,attn_in,Llama-2-7b-hf,3,32,19,0.0005597185809165239
pileval,attn_out,Llama-2-7b-hf,3,32,19,0.00032153050415217876
pileval,mlp_gate,Llama-2-7b-hf,3,32,19,0.001392517937347293
pileval,mlp_down,Llama-2-7b-hf,3,32,19,0.001320046023465693
pileval,attn_in,Llama-2-7b-hf,3,32,20,0.0007109734578989446
pileval,attn_out,Llama-2-7b-hf,3,32,20,0.000378420198103413
pileval,mlp_gate,Llama-2-7b-hf,3,32,20,0.0016472074203193188
pileval,mlp_down,Llama-2-7b-hf,3,32,20,0.001611331827007234
pileval,attn_in,Llama-2-7b-hf,3,32,21,0.0005196577985771
pileval,attn_out,Llama-2-7b-hf,3,32,21,0.00035175131051801145
pileval,mlp_gate,Llama-2-7b-hf,3,32,21,0.0018137790029868484
pileval,mlp_down,Llama-2-7b-hf,3,32,21,0.0016320645809173584
pileval,attn_in,Llama-2-7b-hf,3,32,22,0.000848886847961694
pileval,attn_out,Llama-2-7b-hf,3,32,22,0.00044352063559927046
pileval,mlp_gate,Llama-2-7b-hf,3,32,22,0.0020720437169075012
pileval,mlp_down,Llama-2-7b-hf,3,32,22,0.0018298192881047726
pileval,attn_in,Llama-2-7b-hf,3,32,23,0.0006767807062715292
pileval,attn_out,Llama-2-7b-hf,3,32,23,0.0003801460552494973
pileval,mlp_gate,Llama-2-7b-hf,3,32,23,0.0023212542291730642
pileval,mlp_down,Llama-2-7b-hf,3,32,23,0.0019369593355804682
pileval,attn_in,Llama-2-7b-hf,3,32,24,0.0009041863377206028
pileval,attn_out,Llama-2-7b-hf,3,32,24,0.0004779863520525396
pileval,mlp_gate,Llama-2-7b-hf,3,32,24,0.0025314046069979668
pileval,mlp_down,Llama-2-7b-hf,3,32,24,0.002006849041208625
pileval,attn_in,Llama-2-7b-hf,3,32,25,0.0007930511492304504
pileval,attn_out,Llama-2-7b-hf,3,32,25,0.00039882014971226454
pileval,mlp_gate,Llama-2-7b-hf,3,32,25,0.002849253360182047
pileval,mlp_down,Llama-2-7b-hf,3,32,25,0.0021613240242004395
pileval,attn_in,Llama-2-7b-hf,3,32,26,0.0012492963578552008
pileval,attn_out,Llama-2-7b-hf,3,32,26,0.0006594585720449686
pileval,mlp_gate,Llama-2-7b-hf,3,32,26,0.003191918134689331
pileval,mlp_down,Llama-2-7b-hf,3,32,26,0.002350366208702326
pileval,attn_in,Llama-2-7b-hf,3,32,27,0.0010234155924990773
pileval,attn_out,Llama-2-7b-hf,3,32,27,0.0006278637447394431
pileval,mlp_gate,Llama-2-7b-hf,3,32,27,0.0036541889421641827
pileval,mlp_down,Llama-2-7b-hf,3,32,27,0.0027093286626040936
pileval,attn_in,Llama-2-7b-hf,3,32,28,0.0012735538184642792
pileval,attn_out,Llama-2-7b-hf,3,32,28,0.0007416437729261816
