dataset,part,model,nbits,group_size,layer,sensitivity
bos,mlp_gate,Qwen2.5-7B,2,128,26,1.6513938903808594
bos,mlp_down,Qwen2.5-7B,2,128,26,2.1051676273345947
bos,attn_in,Qwen2.5-7B,2,128,27,1.5104213953018188
bos,mlp_gate,Qwen2.5-7B,2,128,27,3.543524742126465
bos,mlp_down,Qwen2.5-7B,2,128,27,4.032289505004883
c4,attn_in,Qwen2.5-7B,2,128,0,0.0016691576456651092
c4,mlp_gate,Qwen2.5-7B,2,128,0,0.0014461043756455183
c4,mlp_down,Qwen2.5-7B,2,128,0,0.0038269825745373964
c4,attn_in,Qwen2.5-7B,2,128,1,0.0012603471986949444
c4,mlp_gate,Qwen2.5-7B,2,128,1,0.002627425128594041
c4,mlp_down,Qwen2.5-7B,2,128,1,0.0037152415607124567
c4,attn_in,Qwen2.5-7B,2,128,2,0.001513032359071076
c4,mlp_gate,Qwen2.5-7B,2,128,2,0.006051755975931883
c4,mlp_down,Qwen2.5-7B,2,128,2,0.006826048716902733
c4,attn_in,Qwen2.5-7B,2,128,3,0.0043478491716086864
c4,mlp_gate,Qwen2.5-7B,2,128,3,0.2729054093360901
c4,mlp_down,Qwen2.5-7B,2,128,3,0.26917290687561035
c4,attn_in,Qwen2.5-7B,2,128,4,0.0057431310415267944
c4,mlp_gate,Qwen2.5-7B,2,128,4,0.01351574994623661
c4,mlp_down,Qwen2.5-7B,2,128,4,0.09295175969600677
c4,attn_in,Qwen2.5-7B,2,128,5,0.00612215232104063
c4,mlp_gate,Qwen2.5-7B,2,128,5,0.012751113623380661
c4,mlp_down,Qwen2.5-7B,2,128,5,0.009768007323145866
c4,attn_in,Qwen2.5-7B,2,128,6,0.012704731896519661
c4,mlp_gate,Qwen2.5-7B,2,128,6,0.02970689907670021
c4,mlp_down,Qwen2.5-7B,2,128,6,0.019618960097432137
c4,attn_in,Qwen2.5-7B,2,128,7,0.013202125206589699
c4,mlp_gate,Qwen2.5-7B,2,128,7,0.032708290964365005
c4,mlp_down,Qwen2.5-7B,2,128,7,0.031208425760269165
c4,attn_in,Qwen2.5-7B,2,128,8,0.01748036779463291
c4,mlp_gate,Qwen2.5-7B,2,128,8,0.040585409849882126
c4,mlp_down,Qwen2.5-7B,2,128,8,0.03248262032866478
c4,attn_in,Qwen2.5-7B,2,128,9,0.02715389057993889
c4,mlp_gate,Qwen2.5-7B,2,128,9,0.05150759965181351
c4,mlp_down,Qwen2.5-7B,2,128,9,0.03837437927722931
c4,attn_in,Qwen2.5-7B,2,128,10,0.029095878824591637
c4,mlp_gate,Qwen2.5-7B,2,128,10,0.040857814252376556
c4,mlp_down,Qwen2.5-7B,2,128,10,0.03221135959029198
c4,attn_in,Qwen2.5-7B,2,128,11,0.018091119825839996
c4,mlp_gate,Qwen2.5-7B,2,128,11,0.0361553393304348
c4,mlp_down,Qwen2.5-7B,2,128,11,0.02637428045272827
c4,attn_in,Qwen2.5-7B,2,128,12,0.01660645380616188
c4,mlp_gate,Qwen2.5-7B,2,128,12,0.03494810685515404
c4,mlp_down,Qwen2.5-7B,2,128,12,0.02571006678044796
c4,attn_in,Qwen2.5-7B,2,128,13,0.02431793324649334
c4,mlp_gate,Qwen2.5-7B,2,128,13,0.03685712441802025
c4,mlp_down,Qwen2.5-7B,2,128,13,0.02668822929263115
c4,attn_in,Qwen2.5-7B,2,128,14,0.027485238388180733
c4,mlp_gate,Qwen2.5-7B,2,128,14,0.038885727524757385
c4,mlp_down,Qwen2.5-7B,2,128,14,0.02773248963057995
c4,attn_in,Qwen2.5-7B,2,128,15,0.0269254669547081
c4,mlp_gate,Qwen2.5-7B,2,128,15,0.037324026226997375
c4,mlp_down,Qwen2.5-7B,2,128,15,0.02489653043448925
c4,attn_in,Qwen2.5-7B,2,128,16,0.02013583853840828
