model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-13b-hf,mxq,4_13,4.13,kurt-global,4.7655,6.6132,,,,13000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-global,4.7351,6.5715,,,,13000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-global,4.6977,6.5242000000000004,,,,13000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-global,5.2031,7.2807,,,56.131030321121216,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-global,5.5082,7.7057,,,52.83729958534241,13000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-global,4.9436,6.8787,,,54.635329246521,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-global,7.3205,11.7367,,,30.006831645965576,8000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-global,6.1202,9.4794,,,28.563372373580933,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-global,5.6783,7.6526,,,22.994393587112427,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-global,5.3782,7.23,,,21.26705026626587,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-global,9.183,14.5493,,,27.85302138328552,8000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-global,5.2921,7.0924,,,19.899582147598267,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-global,5.3431,7.1635,,,21.100379467010494,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-global,6.2932,8.561,,,22.62109351158142,7000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-global,6.3117,9.8399,,,26.04231977462769,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-global,10.4183,16.4045,,,27.003485679626465,8000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-global,6.7201,9.1436,,,22.48272466659546,7000000000
