quant_method,dataset,part,model,nbits,group_size,layer,sensitivity
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,18,0.0019762455485761166
hqq,bos,attn_in,Llama-2-7b-hf,3,128,19,9.600603370927274e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,19,5.382510717026889e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,19,0.0024331146851181984
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,19,0.0022869810927659273
hqq,bos,attn_in,Llama-2-7b-hf,3,128,20,0.0010215776273980737
hqq,bos,attn_out,Llama-2-7b-hf,3,128,20,6.980894831940532e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,20,0.0027992664836347103
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,20,0.002474805573001504
hqq,bos,attn_in,Llama-2-7b-hf,3,128,21,7.004640647210181e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,21,4.184400022495538e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,21,0.0031374506652355194
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,21,0.00271607399918139
hqq,bos,attn_in,Llama-2-7b-hf,3,128,22,0.0011839846847578883
hqq,bos,attn_out,Llama-2-7b-hf,3,128,22,5.867680883966386e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,22,0.0034105186350643635
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,22,0.0028457213193178177
hqq,bos,attn_in,Llama-2-7b-hf,3,128,23,9.999362519010901e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,23,5.55141712538898e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,23,0.0038187275640666485
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,23,0.003057862399145961
hqq,bos,attn_in,Llama-2-7b-hf,3,128,24,0.0012978585436940193
hqq,bos,attn_out,Llama-2-7b-hf,3,128,24,7.286800537258387e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,24,0.004118608310818672
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,24,0.003039717208594084
hqq,bos,attn_in,Llama-2-7b-hf,3,128,25,8.614457910880446e-4
hqq,bos,attn_out,Llama-2-7b-hf,3,128,25,3.98008618503809e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,25,0.0045840064994990826
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,25,0.0032606073655188084
hqq,bos,attn_in,Llama-2-7b-hf,3,128,26,0.0017483525443822145
hqq,bos,attn_out,Llama-2-7b-hf,3,128,26,0.0011882688850164413
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,26,0.004978560376912355
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,26,0.003378971479833126
hqq,bos,attn_in,Llama-2-7b-hf,3,128,27,0.0016421811887994409
hqq,bos,attn_out,Llama-2-7b-hf,3,128,27,8.376229670830071e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,27,0.005584509111940861
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,27,0.003820514539256692
hqq,bos,attn_in,Llama-2-7b-hf,3,128,28,0.002251707948744297
hqq,bos,attn_out,Llama-2-7b-hf,3,128,28,0.0011793124722316861
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,28,0.006437676027417183
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,28,0.00456583546474576
hqq,bos,attn_in,Llama-2-7b-hf,3,128,29,0.0018081084126606584
hqq,bos,attn_out,Llama-2-7b-hf,3,128,29,9.777022060006857e-4
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,29,0.007630276493728161
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,29,0.008095072582364082
hqq,bos,attn_in,Llama-2-7b-hf,3,128,30,0.002113849390298128
hqq,bos,attn_out,Llama-2-7b-hf,3,128,30,0.0012840336421504617
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,30,0.01415663119405508
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,30,0.03797431290149689
hqq,bos,attn_in,Llama-2-7b-hf,3,128,31,0.011663475073873997
hqq,bos,attn_out,Llama-2-7b-hf,3,128,31,0.0026256723795086145
hqq,bos,mlp_gate,Llama-2-7b-hf,3,128,31,0.024554161354899406
hqq,bos,mlp_down,Llama-2-7b-hf,3,128,31,0.042091209441423416
hqq,c4,attn_in,Llama-2-7b-hf,3,128,0,2.543072696425952e-6
hqq,c4,attn_out,Llama-2-7b-hf,3,128,0,3.012893103004899e-6
