b1,g1,b2,g2,memmb,model,layer,module,bit_budget
4,32,8,128,8.0078125,Llama-2-7b-hf,9,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,9,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,9,mlp.gate_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,9,mlp.up_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,9,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,10,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,10,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,10,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,10,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,10,mlp.gate_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,10,mlp.up_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,10,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,11,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,11,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,11,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,11,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,11,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,11,mlp.up_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,11,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,12,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,12,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,12,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,12,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,12,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,12,mlp.up_proj,4.51
4,64,8,128,21.510498046875,Llama-2-7b-hf,12,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,13,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,13,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,13,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,13,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,13,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,13,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,13,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,14,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,14,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,14,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,14,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,14,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,14,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,14,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,15,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,15,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,15,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,15,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,15,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,15,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,15,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,16,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,16,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,16,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,16,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,16,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,16,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,16,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,17,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,17,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,17,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,17,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,17,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,17,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,17,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,18,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,18,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,18,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,18,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,18,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,18,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,18,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,19,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,19,self_attn.k_proj,4.51
