model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Llama-2-7b-hf,self_attn.q_proj,8,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,8,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,8,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,8,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,8,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,8,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,8,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,9,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,9,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,9,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,9,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,9,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,9,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,9,22.182373046875,45088768,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,10,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,10,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,10,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,10,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,10,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,10,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,10,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,11,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,11,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,11,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,11,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,11,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,11,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,11,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,12,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,12,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,12,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,12,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,12,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,12,22.182373046875,45088768,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,12,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,13,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,13,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,13,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,13,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,13,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,13,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,13,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,14,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,14,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,14,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,14,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,14,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,14,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,14,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,15,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,15,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,15,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,15,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,15,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,15,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,15,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,16,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,16,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,16,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,16,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,16,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
