model,algo,config,config_detail,quant_duration,model_storage_size,load_mem_allot,load_mem_reserved,ppl_mem_allot,ppl_mem_reserved,leaderboard_mem_allot,leaderboard_mem_reserved,ppl_wikitext,ppl_c4,duration_wikitext,duration_c4
Qwen3.5-4B,mxq,4_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,0,16299999232,17295212544,0,0,9.3696,13.709,0.103,0.103
Qwen3.5-9B,mxq,3_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.25}",0,0,0,0,13439776256,14680064000,0,0,8.9281,12.8742,0.204,0.203
Qwen3.5-2B,mxq,4_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,0,10627063808,11760828416,0,0,12.2989,17.753,0.046,0.046
Qwen3.5-2B,mxq,4_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.51}",0,0,0,0,13060097024,14159970304,0,0,11.9902,17.3814,0.046,0.046
Qwen3.5-2B,mxq,3_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,0,10430091776,11580473344,0,0,14.8599,20.6797,0.052,0.052
Qwen3.5-2B,mxq,3_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.25}",0,0,0,0,10515147776,11614027776,0,0,13.7544,19.4968,0.052,0.052
Qwen3.5-2B,mxq,3_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,0,10581794304,11697913856,0,0,12.5798,18.6406,0.051,0.052
Qwen3.5-4B,mxq,3_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,0,15934406656,17003708416,0,0,10.0375,14.3637,0.112,0.113
Qwen3.5-4B,mxq,3_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,0,15460300800,16659775488,0,0,10.3167,15.3254,0.111,0.113
Qwen3.5-9B,mxq,4_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,0,13732697088,14942208000,0,0,8.6907,12.0301,0.191,0.191
Qwen3.5-4B,mxq,4_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.51}",0,0,0,0,20190969856,21193818112,0,0,9.2888,13.6257,0.103,0.103
Qwen3.5-9B,mxq,4_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,0,13896623104,15091105792,0,0,8.5305,11.9382,0.191,0.191
Qwen3.5-9B,mxq,3_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.51}",0,0,0,0,13741704192,14927527936,0,0,9.1181,12.481,0.205,0.204
Qwen3.5-4B,mxq,3_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.25}",0,0,0,0,15699703808,16854810624,0,0,10.3925,14.8201,0.112,0.113
Qwen3.5-2B,mxq,4_25,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.25}",0,0,0,0,10713899008,11788091392,0,0,12.3854,17.6189,0.046,0.046
Qwen3.5-9B,mxq,3_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 3.13}",0,0,0,0,24090511872,24274534400,0,0,8.5231,13.2691,0.203,0.204
Qwen3.5-4B,mxq,4_13,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.13}",0,0,0,0,16071096320,17058234368,0,0,9.4025,13.8067,0.102,0.103
Qwen3.5-9B,mxq,4_51,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': True, 'budget': 4.51}",0,0,0,0,14199112704,15424552960,0,0,8.502,11.8984,0.192,0.191
