model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_13,8.13,466.47509765625,572,0.6655,0.89898,0.6654200000000001,54.966668128967285
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_25,8.25,468.22509765625,1792,0.66518,0.89902,0.66534,55.2368552684784
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_51,8.51,1635.56884765625,2732,0.66554,0.899,0.6656,54.80830955505371
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,2_13,2.13,358.541015625,438,0.0043,0.01752,0.00426,55.34034872055054
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,2_25,2.25,363.341796875,448,0.01932,0.05584,0.0192199999999999,54.74253058433533
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,2_51,2.51,372.822265625,458,0.0762,0.1921,0.07612,55.3332359790802
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_13,3.13,376.28125,464,0.457,0.73358,0.45686,56.09674119949341
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_25,3.25,383.73046875,464,0.5243,0.79824,0.52446,55.97889351844788
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_51,3.51,389.875,440,0.57196,0.83854,0.5720599999999999,56.02704834938049
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_13,4.13,393.228515625,456,0.63292,0.88094,0.6328600000000001,54.22870755195618
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_25,4.25,402.103515625,466,0.64286,0.88546,0.64288,55.47993731498718
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_51,4.51,435.291015625,532,0.65226,0.89102,0.65226,55.33618783950806
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_13,8.13,469.22509765625,622,0.6655,0.89898,0.6654200000000001,55.07723832130432
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_25,8.25,466.97509765625,1754,0.66518,0.89902,0.66534,55.9726881980896
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_51,8.51,1635.99658203125,2660,0.66554,0.899,0.6656,55.54256677627564
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,2_13,2.13,357.904296875,410,0.00436,0.01734,0.00434,54.76818346977234
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,2_25,2.25,364.404296875,420,0.01794,0.05578,0.01804,54.30798316001892
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,2_51,2.51,372.197265625,430,0.0756,0.1905,0.0757,55.51526212692261
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_13,3.13,377.29296875,436,0.45674,0.73418,0.4567,55.68344974517822
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_25,3.25,383.79296875,436,0.52616,0.79988,0.52616,56.718138456344604
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_51,3.51,391,432,0.57198,0.8387,0.57224,56.48166012763977
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_13,4.13,395.666015625,436,0.63378,0.88078,0.6333200000000001,55.25541400909424
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_25,4.25,403.541015625,446,0.64354,0.88564,0.64354,54.47944021224976
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_51,4.51,435.666015625,498,0.65204,0.8911,0.6522,54.8193109035492
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_13,8.13,462.60009765625,648,0.66552,0.89896,0.6655,55.04052114486694
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_25,8.25,470.22509765625,1760,0.66518,0.89902,0.66534,55.478928327560425
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_51,8.51,1635.72802734375,2662,0.66554,0.899,0.6656,54.83189845085144
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,2_13,2.13,357.654296875,428,0.00436,0.01734,0.00434,55.10391712188721
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,2_25,2.25,364.154296875,436,0.01794,0.05578,0.01804,54.87412142753601
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,2_51,2.51,371.947265625,446,0.0756,0.1905,0.0757,55.22059607505798
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_13,3.13,377.29296875,452,0.45674,0.73418,0.4567,55.53470301628113
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_25,3.25,384.79296875,452,0.52616,0.79988,0.52616,55.21203112602234
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_51,3.51,391,448,0.57198,0.8387,0.57224,54.89029383659363
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_13,4.13,394.416015625,432,0.63378,0.88078,0.6333200000000001,55.09406137466431
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_25,4.25,401.541015625,442,0.64354,0.88564,0.64354,54.4337203502655
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_51,4.51,434.166015625,492,0.65204,0.8911,0.6522,55.09037590026856
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_13,8.13,465.85009765625,558,0.66552,0.89896,0.6655,55.396082162857056
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_25,8.25,468.66259765625,1744,0.66518,0.89902,0.66534,54.423232316970825
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_51,8.51,1637.02001953125,2640,0.66554,0.899,0.6656,55.435341358184814
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,2_13,2.13,358.654296875,452,0.00436,0.01734,0.00434,54.62267017364502
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,2_25,2.25,365.154296875,460,0.01794,0.05578,0.01804,54.66469216346741
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,2_51,2.51,372.947265625,470,0.0756,0.1905,0.0757,55.05607485771179
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_13,3.13,377.79296875,470,0.45674,0.73418,0.4567,55.23622608184815
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_25,3.25,384.79296875,444,0.52616,0.79988,0.52616,55.76436972618103
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_51,3.51,392.875,434,0.57198,0.8387,0.57224,55.61721849441528
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_13,4.13,396.916015625,444,0.63378,0.88078,0.6333200000000001,53.93596172332764
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_25,4.25,403.416015625,448,0.64354,0.88564,0.64354,54.64060640335083
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_51,4.51,436.416015625,500,0.65204,0.8911,0.6522,54.939026832580566
