layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled
3,self_attn.q_proj,2,32,8,128,26.67819595336914,6.26953125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,2,64,8,128,31.92449951171875,5.634765625,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,2,128,8,128,36.81057357788086,5.3173828125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,3,32,8,128,11.444390296936035,8.76953125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,3,64,8,128,13.738317489624023,8.134765625,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,3,128,8,128,15.952731132507324,7.8173828125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,4,32,8,128,5.33971118927002,11.26953125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,4,64,8,128,6.410636901855469,10.634765625,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,4,128,8,128,7.446468353271484,10.3173828125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,8,32,8,128,0.3232516348361969,21.26953125,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,8,64,8,128,0.3878033757209778,20.634765625,20971520,4.2241707,0.10707784346068298
3,self_attn.q_proj,8,128,8,128,0.4488658607006073,20.3173828125,20971520,4.2241707,0.10707784346068298
7,self_attn.q_proj,2,32,8,128,23.23768615722656,6.26953125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,2,64,8,128,27.80689811706543,5.634765625,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,2,128,8,128,32.13624954223633,5.3173828125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,3,32,8,128,9.963311195373535,8.76953125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,3,64,8,128,11.989487648010254,8.134765625,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,3,128,8,128,13.975435256958008,7.8173828125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,4,32,8,128,4.650475978851318,11.26953125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,4,64,8,128,5.59752082824707,10.634765625,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,4,128,8,128,6.527475357055664,10.3173828125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,8,32,8,128,0.2815316915512085,21.26953125,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,8,64,8,128,0.3386144638061523,20.634765625,20971520,4.2387505,0.12618570633616477
7,self_attn.q_proj,8,128,8,128,0.3933682739734649,20.3173828125,20971520,4.2387505,0.12618570633616477
11,self_attn.q_proj,2,32,8,128,21.927644729614254,6.26953125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,2,64,8,128,26.269899368286133,5.634765625,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,2,128,8,128,30.425575256347656,5.3173828125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,3,32,8,128,9.419439315795898,8.76953125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,3,64,8,128,11.360733032226562,8.134765625,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,3,128,8,128,13.289092063903809,7.8173828125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,4,32,8,128,4.397475719451904,11.26953125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,4,64,8,128,5.305960178375244,10.634765625,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,4,128,8,128,6.215322017669678,10.3173828125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,8,32,8,128,0.2661632001399994,21.26953125,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,8,64,8,128,0.3209583461284637,20.634765625,20971520,4.3818903,0.31378057529348263
11,self_attn.q_proj,8,128,8,128,0.3746304214000702,20.3173828125,20971520,4.3818903,0.31378057529348263
15,self_attn.q_proj,2,32,8,128,20.65007781982422,6.26953125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,2,64,8,128,24.688182830810547,5.634765625,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,2,128,8,128,28.532793045043945,5.3173828125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,3,32,8,128,8.86840534210205,8.76953125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,3,64,8,128,10.690796852111816,8.134765625,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,3,128,8,128,12.518898010253906,7.8173828125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,4,32,8,128,4.139043807983398,11.26953125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,4,64,8,128,4.992803573608398,10.634765625,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,4,128,8,128,5.85706901550293,10.3173828125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,8,32,8,128,0.250383585691452,21.26953125,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,8,64,8,128,0.3020633161067962,20.634765625,20971520,4.611071,0.6141381514815608
15,self_attn.q_proj,8,128,8,128,0.3532061576843261,20.3173828125,20971520,4.611071,0.6141381514815608
19,self_attn.q_proj,2,32,8,128,20.957883834838867,6.26953125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,2,64,8,128,24.988014221191406,5.634765625,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,2,128,8,128,28.84073638916016,5.3173828125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,3,32,8,128,8.983987808227539,8.76953125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,3,64,8,128,10.790143966674805,8.134765625,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,3,128,8,128,12.571158409118652,7.8173828125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,4,32,8,128,4.191174030303955,11.26953125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,4,64,8,128,5.034264087677002,10.634765625,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,4,128,8,128,5.87012243270874,10.3173828125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,8,32,8,128,0.2536811232566833,21.26953125,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,8,64,8,128,0.3046506643295288,20.634765625,20971520,4.436875,0.38584192783943644
19,self_attn.q_proj,8,128,8,128,0.3539589345455169,20.3173828125,20971520,4.436875,0.38584192783943644
23,self_attn.q_proj,2,32,8,128,22.559444427490234,6.26953125,20971520,4.1424675,0.0
23,self_attn.q_proj,2,64,8,128,26.899858474731445,5.634765625,20971520,4.1424675,0.0
23,self_attn.q_proj,2,128,8,128,31.066049575805664,5.3173828125,20971520,4.1424675,0.0
