layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,cost_sensi,sensitivity
0,self_attn.q_proj,2,32,8,128,24.609375,7.8369140625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,2,64,8,128,29.796875,7.04345703125,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,2,128,8,128,34.625,6.646728515625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,3,32,8,128,11.0234375,10.9619140625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,3,64,8,128,13.96875,10.16845703125,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,3,128,8,128,17.078125,9.771728515625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,4,32,8,128,5.15625,14.0869140625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,4,64,8,128,6.5625,13.29345703125,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,4,128,8,128,8.0703125,12.896728515625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,8,32,8,128,0.3125,26.5869140625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,8,64,8,128,0.396484375,25.79345703125,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.q_proj,8,128,8,128,0.486572265625,25.396728515625,26214400,130.83713963078688,NA,2.8120616946125665e-8
0,self_attn.v_proj,2,32,8,128,21.703125,7.8369140625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,2,64,8,128,26.578125,7.04345703125,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,2,128,8,128,30.9375,6.646728515625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,3,32,8,128,9.4140625,10.9619140625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,3,64,8,128,11.7578125,10.16845703125,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,3,128,8,128,14.1796875,9.771728515625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,4,32,8,128,4.39453125,14.0869140625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,4,64,8,128,5.48828125,13.29345703125,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,4,128,8,128,6.62109375,12.896728515625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,8,32,8,128,0.265625,26.5869140625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,8,64,8,128,0.331787109375,25.79345703125,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.v_proj,8,128,8,128,0.39892578125,25.396728515625,26214400,6.886821964622624,NA,2.8120616946125665e-8
0,self_attn.k_proj,2,32,8,128,26.59375,7.8369140625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,2,64,8,128,32,7.04345703125,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,2,128,8,128,36.84375,6.646728515625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,3,32,8,128,11.703125,10.9619140625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,3,64,8,128,14.53125,10.16845703125,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,3,128,8,128,17.46875,9.771728515625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,4,32,8,128,5.46875,14.0869140625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,4,64,8,128,6.79296875,13.29345703125,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,4,128,8,128,8.1875,12.896728515625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,8,32,8,128,0.3310546875,26.5869140625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,8,64,8,128,0.41064453125,25.79345703125,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.k_proj,8,128,8,128,0.493408203125,25.396728515625,26214400,64.52939795597361,NA,2.8120616946125665e-8
0,self_attn.o_proj,2,32,8,128,13.78125,7.8369140625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,2,64,8,128,16.234375,7.04345703125,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,2,128,8,128,18.546875,6.646728515625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,3,32,8,128,5.96875,10.9619140625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,3,64,8,128,7.10546875,10.16845703125,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,3,128,8,128,8.265625,9.771728515625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,4,32,8,128,2.796875,14.0869140625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,4,64,8,128,3.341796875,13.29345703125,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,4,128,8,128,3.9140625,12.896728515625,26214400,27.589738715545355,NA,8.492357892464497e-7
0,self_attn.o_proj,8,32,8,128,0.16943359375,26.5869140625,26214400,27.589738715545355,NA,8.492357892464497e-7
