model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,1,mlp.c_proj,4,64,8,128,1.9044811725616455,2.126953125,4194304
vision,1,mlp.c_proj,4,128,8,128,2.2581872940063477,2.0634765625,4194304
vision,1,mlp.c_proj,8,32,8,128,0.0953761488199234,4.25390625,4194304
vision,1,mlp.c_proj,8,64,8,128,0.1156526580452919,4.126953125,4194304
vision,1,mlp.c_proj,8,128,8,128,0.1364423781633377,4.0634765625,4194304
vision,2,attn.out_proj,2,32,8,128,3.911240339279175,0.3134765625,1048576
vision,2,attn.out_proj,2,64,8,128,4.74298095703125,0.28173828125,1048576
vision,2,attn.out_proj,2,128,8,128,5.500570297241211,0.265869140625,1048576
vision,2,attn.out_proj,3,32,8,128,1.7780050039291382,0.4384765625,1048576
vision,2,attn.out_proj,3,64,8,128,2.267152786254883,0.40673828125,1048576
vision,2,attn.out_proj,3,128,8,128,2.818915367126465,0.390869140625,1048576
vision,2,attn.out_proj,4,32,8,128,0.8368886113166809,0.5634765625,1048576
vision,2,attn.out_proj,4,64,8,128,1.0808844566345215,0.53173828125,1048576
vision,2,attn.out_proj,4,128,8,128,1.364768624305725,0.515869140625,1048576
vision,2,attn.out_proj,8,32,8,128,0.050691358745098114,1.0634765625,1048576
vision,2,attn.out_proj,8,64,8,128,0.06529053300619125,1.03173828125,1048576
vision,2,attn.out_proj,8,128,8,128,0.08209727704524994,1.015869140625,1048576
vision,2,mlp.c_fc,2,32,8,128,9.088519096374512,1.25390625,4194304
vision,2,mlp.c_fc,2,64,8,128,10.706770896911621,1.126953125,4194304
vision,2,mlp.c_fc,2,128,8,128,12.140495300292969,1.0634765625,4194304
vision,2,mlp.c_fc,3,32,8,128,4.088252544403076,1.75390625,4194304
vision,2,mlp.c_fc,3,64,8,128,4.935821533203125,1.626953125,4194304
vision,2,mlp.c_fc,3,128,8,128,5.732724666595459,1.5634765625,4194304
vision,2,mlp.c_fc,4,32,8,128,1.941118597984314,2.25390625,4194304
vision,2,mlp.c_fc,4,64,8,128,2.363992691040039,2.126953125,4194304
vision,2,mlp.c_fc,4,128,8,128,2.7735750675201416,2.0634765625,4194304
vision,2,mlp.c_fc,8,32,8,128,0.11915305256843567,4.25390625,4194304
vision,2,mlp.c_fc,8,64,8,128,0.1462026685476303,4.126953125,4194304
vision,2,mlp.c_fc,8,128,8,128,0.17268720269203186,4.0634765625,4194304
vision,2,mlp.c_proj,2,32,8,128,8.373382568359375,1.25390625,4194304
vision,2,mlp.c_proj,2,64,8,128,10.032841682434082,1.126953125,4194304
vision,2,mlp.c_proj,2,128,8,128,11.574386596679688,1.0634765625,4194304
vision,2,mlp.c_proj,3,32,8,128,3.6251745223999023,1.75390625,4194304
vision,2,mlp.c_proj,3,64,8,128,4.398155689239502,1.626953125,4194304
vision,2,mlp.c_proj,3,128,8,128,5.196310520172119,1.5634765625,4194304
vision,2,mlp.c_proj,4,32,8,128,1.6928236484527588,2.25390625,4194304
vision,2,mlp.c_proj,4,64,8,128,2.059939384460449,2.126953125,4194304
vision,2,mlp.c_proj,4,128,8,128,2.446533203125,2.0634765625,4194304
vision,2,mlp.c_proj,8,32,8,128,0.10298676788806915,4.25390625,4194304
vision,2,mlp.c_proj,8,64,8,128,0.12498936057090759,4.126953125,4194304
vision,2,mlp.c_proj,8,128,8,128,0.14797423779964447,4.0634765625,4194304
vision,3,attn.out_proj,2,32,8,128,4.4834747314453125,0.3134765625,1048576
vision,3,attn.out_proj,2,64,8,128,5.376020908355713,0.28173828125,1048576
vision,3,attn.out_proj,2,128,8,128,6.245918273925781,0.265869140625,1048576
vision,3,attn.out_proj,3,32,8,128,1.942083477973938,0.4384765625,1048576
