model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,0,mlp.c_proj,4,64,8,128,1.6903578042984009,1.1964111328125,2359296
vision,0,mlp.c_proj,4,128,8,128,1.9883592128753662,1.16070556640625,2359296
vision,0,mlp.c_proj,8,32,8,128,0.0842554122209549,2.392822265625,2359296
vision,0,mlp.c_proj,8,64,8,128,0.10231027752161026,2.3214111328125,2359296
vision,0,mlp.c_proj,8,128,8,128,0.11994849145412445,2.28570556640625,2359296
vision,1,attn.out_proj,2,32,8,128,3.559879779815674,0.17633056640625,589824
vision,1,attn.out_proj,2,64,8,128,4.292928218841553,0.158477783203125,589824
vision,1,attn.out_proj,2,128,8,128,4.943178653717041,0.1495513916015625,589824
vision,1,attn.out_proj,3,32,8,128,1.5649722814559937,0.24664306640625,589824
vision,1,attn.out_proj,3,64,8,128,1.9424352645874023,0.228790283203125,589824
vision,1,attn.out_proj,3,128,8,128,2.312396764755249,0.2198638916015625,589824
vision,1,attn.out_proj,4,32,8,128,0.7308355569839478,0.31695556640625,589824
vision,1,attn.out_proj,4,64,8,128,0.907378077507019,0.299102783203125,589824
vision,1,attn.out_proj,4,128,8,128,1.0884528160095215,0.2901763916015625,589824
vision,1,attn.out_proj,8,32,8,128,0.04422278702259064,0.59820556640625,589824
vision,1,attn.out_proj,8,64,8,128,0.054848942905664444,0.580352783203125,589824
vision,1,attn.out_proj,8,128,8,128,0.06550277024507523,0.5714263916015625,589824
vision,1,mlp.c_fc,2,32,8,128,9.103703498840332,0.705322265625,2359296
vision,1,mlp.c_fc,2,64,8,128,10.854814529418945,0.6339111328125,2359296
vision,1,mlp.c_fc,2,128,8,128,12.433868408203125,0.59820556640625,2359296
vision,1,mlp.c_fc,3,32,8,128,4.004519939422607,0.986572265625,2359296
vision,1,mlp.c_fc,3,64,8,128,4.869235992431641,0.9151611328125,2359296
vision,1,mlp.c_fc,3,128,8,128,5.696018218994141,0.87945556640625,2359296
vision,1,mlp.c_fc,4,32,8,128,1.875130295753479,1.267822265625,2359296
vision,1,mlp.c_fc,4,64,8,128,2.288634777069092,1.1964111328125,2359296
vision,1,mlp.c_fc,4,128,8,128,2.692777395248413,1.16070556640625,2359296
vision,1,mlp.c_fc,8,32,8,128,0.1136341467499733,2.392822265625,2359296
vision,1,mlp.c_fc,8,64,8,128,0.13860879838466644,2.3214111328125,2359296
vision,1,mlp.c_fc,8,128,8,128,0.16262513399124146,2.28570556640625,2359296
vision,1,mlp.c_proj,2,32,8,128,6.911839962005615,0.705322265625,2359296
vision,1,mlp.c_proj,2,64,8,128,8.261187553405762,0.6339111328125,2359296
vision,1,mlp.c_proj,2,128,8,128,9.480621337890625,0.59820556640625,2359296
vision,1,mlp.c_proj,3,32,8,128,2.991220712661743,0.986572265625,2359296
vision,1,mlp.c_proj,3,64,8,128,3.6111984252929688,0.9151611328125,2359296
vision,1,mlp.c_proj,3,128,8,128,4.218574523925781,0.87945556640625,2359296
vision,1,mlp.c_proj,4,32,8,128,1.3967558145523071,1.267822265625,2359296
vision,1,mlp.c_proj,4,64,8,128,1.6911554336547852,1.1964111328125,2359296
vision,1,mlp.c_proj,4,128,8,128,1.983748197555542,1.16070556640625,2359296
vision,1,mlp.c_proj,8,32,8,128,0.08465902507305145,2.392822265625,2359296
vision,1,mlp.c_proj,8,64,8,128,0.10233005881309509,2.3214111328125,2359296
vision,1,mlp.c_proj,8,128,8,128,0.11965607851743698,2.28570556640625,2359296
vision,2,attn.out_proj,2,32,8,128,3.6016454696655273,0.17633056640625,589824
vision,2,attn.out_proj,2,64,8,128,4.27232027053833,0.158477783203125,589824
vision,2,attn.out_proj,2,128,8,128,4.9123992919921875,0.1495513916015625,589824
vision,2,attn.out_proj,3,32,8,128,1.5426644086837769,0.24664306640625,589824
vision,2,attn.out_proj,3,64,8,128,1.834087610244751,0.228790283203125,589824
vision,2,attn.out_proj,3,128,8,128,2.119471311569214,0.2198638916015625,589824
vision,2,attn.out_proj,4,32,8,128,0.7197479605674744,0.31695556640625,589824
vision,2,attn.out_proj,4,64,8,128,0.8559382557868958,0.299102783203125,589824
vision,2,attn.out_proj,4,128,8,128,0.9882014393806458,0.2901763916015625,589824
vision,2,attn.out_proj,8,32,8,128,0.043532345443964005,0.59820556640625,589824
vision,2,attn.out_proj,8,64,8,128,0.051684632897377014,0.580352783203125,589824
vision,2,attn.out_proj,8,128,8,128,0.059547457844018936,0.5714263916015625,589824
vision,2,mlp.c_fc,2,32,8,128,8.82172966003418,0.705322265625,2359296
vision,2,mlp.c_fc,2,64,8,128,10.50925350189209,0.6339111328125,2359296
vision,2,mlp.c_fc,2,128,8,128,12.034895896911621,0.59820556640625,2359296
vision,2,mlp.c_fc,3,32,8,128,3.823518753051758,0.986572265625,2359296
vision,2,mlp.c_fc,3,64,8,128,4.6140289306640625,0.9151611328125,2359296
vision,2,mlp.c_fc,3,128,8,128,5.374442100524902,0.87945556640625,2359296
vision,2,mlp.c_fc,4,32,8,128,1.785937786102295,1.267822265625,2359296
vision,2,mlp.c_fc,4,64,8,128,2.158376693725586,1.1964111328125,2359296
vision,2,mlp.c_fc,4,128,8,128,2.523719310760498,1.16070556640625,2359296
vision,2,mlp.c_fc,8,32,8,128,0.10810095071792603,2.392822265625,2359296
vision,2,mlp.c_fc,8,64,8,128,0.13063114881515503,2.3214111328125,2359296
vision,2,mlp.c_fc,8,128,8,128,0.15222015976905823,2.28570556640625,2359296
vision,2,mlp.c_proj,2,32,8,128,6.639797687530518,0.705322265625,2359296
vision,2,mlp.c_proj,2,64,8,128,7.880718231201172,0.6339111328125,2359296
vision,2,mlp.c_proj,2,128,8,128,9.019220352172852,0.59820556640625,2359296
vision,2,mlp.c_proj,3,32,8,128,2.859175443649292,0.986572265625,2359296
vision,2,mlp.c_proj,3,64,8,128,3.413665294647217,0.9151611328125,2359296
vision,2,mlp.c_proj,3,128,8,128,3.95273756980896,0.87945556640625,2359296
vision,2,mlp.c_proj,4,32,8,128,1.333265781402588,1.267822265625,2359296
vision,2,mlp.c_proj,4,64,8,128,1.5933430194854736,1.1964111328125,2359296
vision,2,mlp.c_proj,4,128,8,128,1.8488850593566895,1.16070556640625,2359296
vision,2,mlp.c_proj,8,32,8,128,0.08075807988643646,2.392822265625,2359296
vision,2,mlp.c_proj,8,64,8,128,0.09648673981428146,2.3214111328125,2359296
vision,2,mlp.c_proj,8,128,8,128,0.11135073751211166,2.28570556640625,2359296
vision,3,attn.out_proj,2,32,8,128,3.5210816860198975,0.17633056640625,589824
vision,3,attn.out_proj,2,64,8,128,4.15714693069458,0.158477783203125,589824
vision,3,attn.out_proj,2,128,8,128,4.753215312957764,0.1495513916015625,589824
vision,3,attn.out_proj,3,32,8,128,1.5085514783859253,0.24664306640625,589824
vision,3,attn.out_proj,3,64,8,128,1.7841325998306274,0.228790283203125,589824
vision,3,attn.out_proj,3,128,8,128,2.051889657974243,0.2198638916015625,589824
vision,3,attn.out_proj,4,32,8,128,0.7037451267242432,0.31695556640625,589824
vision,3,attn.out_proj,4,64,8,128,0.8331465721130371,0.299102783203125,589824
vision,3,attn.out_proj,4,128,8,128,0.9564637541770935,0.2901763916015625,589824
