model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,1,mlp.c_proj,3,128,8,128,5.472756385803223,2.44293212890625,6553600
vision,1,mlp.c_proj,4,32,8,128,1.791886329650879,3.521728515625,6553600
vision,1,mlp.c_proj,4,64,8,128,2.1701223850250244,3.3233642578125,6553600
vision,1,mlp.c_proj,4,128,8,128,2.5580050945281982,3.22418212890625,6553600
vision,1,mlp.c_proj,8,32,8,128,0.10887832939624786,6.646728515625,6553600
vision,1,mlp.c_proj,8,64,8,128,0.1314495950937271,6.4483642578125,6553600
vision,1,mlp.c_proj,8,128,8,128,0.1542661488056183,6.34918212890625,6553600
vision,2,attn.out_proj,2,32,8,128,4.409773349761963,0.48980712890625,1638400
vision,2,attn.out_proj,2,64,8,128,5.332744121551514,0.440216064453125,1638400
vision,2,attn.out_proj,2,128,8,128,6.218132019042969,0.4154205322265625,1638400
vision,2,attn.out_proj,3,32,8,128,1.9321651458740234,0.68511962890625,1638400
vision,2,attn.out_proj,3,64,8,128,2.4100568294525146,0.635528564453125,1638400
vision,2,attn.out_proj,3,128,8,128,2.9281983375549316,0.6107330322265625,1638400
vision,2,attn.out_proj,4,32,8,128,0.9021874070167542,0.88043212890625,1638400
vision,2,attn.out_proj,4,64,8,128,1.1251384019851685,0.830841064453125,1638400
vision,2,attn.out_proj,4,128,8,128,1.3721415996551514,0.8060455322265625,1638400
vision,2,attn.out_proj,8,32,8,128,0.05460987240076065,1.66168212890625,1638400
vision,2,attn.out_proj,8,64,8,128,0.06798235327005386,1.612091064453125,1638400
vision,2,attn.out_proj,8,128,8,128,0.08272344619035721,1.5872955322265625,1638400
vision,2,mlp.c_fc,2,32,8,128,8.161528587341309,1.959228515625,6553600
vision,2,mlp.c_fc,2,64,8,128,9.59583568572998,1.7608642578125,6553600
vision,2,mlp.c_fc,2,128,8,128,10.921076774597168,1.66168212890625,6553600
vision,2,mlp.c_fc,3,32,8,128,3.7822928428649902,2.740478515625,6553600
vision,2,mlp.c_fc,3,64,8,128,4.509288311004639,2.5421142578125,6553600
vision,2,mlp.c_fc,3,128,8,128,5.195005416870117,2.44293212890625,6553600
vision,2,mlp.c_fc,4,32,8,128,1.8471770286560059,3.521728515625,6553600
vision,2,mlp.c_fc,4,64,8,128,2.2348334789276123,3.3233642578125,6553600
vision,2,mlp.c_fc,4,128,8,128,2.595745086669922,3.22418212890625,6553600
vision,2,mlp.c_fc,8,32,8,128,0.11641491204500198,6.646728515625,6553600
vision,2,mlp.c_fc,8,64,8,128,0.14384646713733673,6.4483642578125,6553600
vision,2,mlp.c_fc,8,128,8,128,0.17061565816402435,6.34918212890625,6553600
vision,2,mlp.c_proj,2,32,8,128,7.415049076080322,1.959228515625,6553600
vision,2,mlp.c_proj,2,64,8,128,8.909460067749023,1.7608642578125,6553600
vision,2,mlp.c_proj,2,128,8,128,10.368345260620117,1.66168212890625,6553600
vision,2,mlp.c_proj,3,32,8,128,3.223512649536133,2.740478515625,6553600
vision,2,mlp.c_proj,3,64,8,128,3.9444594383239746,2.5421142578125,6553600
vision,2,mlp.c_proj,3,128,8,128,4.719581604003906,2.44293212890625,6553600
vision,2,mlp.c_proj,4,32,8,128,1.50624680519104,3.521728515625,6553600
vision,2,mlp.c_proj,4,64,8,128,1.8460279703140259,3.3233642578125,6553600
vision,2,mlp.c_proj,4,128,8,128,2.219352960586548,3.22418212890625,6553600
vision,2,mlp.c_proj,8,32,8,128,0.09268471598625183,6.646728515625,6553600
vision,2,mlp.c_proj,8,64,8,128,0.11265824735164642,6.4483642578125,6553600
vision,2,mlp.c_proj,8,128,8,128,0.13442768156528473,6.34918212890625,6553600
vision,3,attn.out_proj,2,32,8,128,4.398261070251465,0.48980712890625,1638400
vision,3,attn.out_proj,2,64,8,128,5.257767677307129,0.440216064453125,1638400
vision,3,attn.out_proj,2,128,8,128,6.0719380378723145,0.4154205322265625,1638400
vision,3,attn.out_proj,3,32,8,128,1.897451400756836,0.68511962890625,1638400
vision,3,attn.out_proj,3,64,8,128,2.2943241596221924,0.635528564453125,1638400
vision,3,attn.out_proj,3,128,8,128,2.7036352157592773,0.6107330322265625,1638400
vision,3,attn.out_proj,4,32,8,128,0.8860840201377869,0.88043212890625,1638400
vision,3,attn.out_proj,4,64,8,128,1.0733529329299927,0.830841064453125,1638400
vision,3,attn.out_proj,4,128,8,128,1.2662233114242554,0.8060455322265625,1638400
vision,3,attn.out_proj,8,32,8,128,0.053706295788288116,1.66168212890625,1638400
vision,3,attn.out_proj,8,64,8,128,0.06490600109100342,1.612091064453125,1638400
vision,3,attn.out_proj,8,128,8,128,0.07630696147680283,1.5872955322265625,1638400
vision,3,mlp.c_fc,2,32,8,128,8.212446212768555,1.959228515625,6553600
vision,3,mlp.c_fc,2,64,8,128,9.682546615600586,1.7608642578125,6553600
vision,3,mlp.c_fc,2,128,8,128,11.026978492736816,1.66168212890625,6553600
vision,3,mlp.c_fc,3,32,8,128,3.7364869117736816,2.740478515625,6553600
vision,3,mlp.c_fc,3,64,8,128,4.442444324493408,2.5421142578125,6553600
vision,3,mlp.c_fc,3,128,8,128,5.108902931213379,2.44293212890625,6553600
vision,3,mlp.c_fc,4,32,8,128,1.8289055824279785,3.521728515625,6553600
vision,3,mlp.c_fc,4,64,8,128,2.1966073513031006,3.3233642578125,6553600
vision,3,mlp.c_fc,4,128,8,128,2.546232223510742,3.22418212890625,6553600
vision,3,mlp.c_fc,8,32,8,128,0.11829875409603119,6.646728515625,6553600
vision,3,mlp.c_fc,8,64,8,128,0.14518368244171143,6.4483642578125,6553600
vision,3,mlp.c_fc,8,128,8,128,0.1709693819284439,6.34918212890625,6553600
vision,3,mlp.c_proj,2,32,8,128,7.2360100746154785,1.959228515625,6553600
vision,3,mlp.c_proj,2,64,8,128,8.607769966125488,1.7608642578125,6553600
vision,3,mlp.c_proj,2,128,8,128,9.921026229858398,1.66168212890625,6553600
vision,3,mlp.c_proj,3,32,8,128,3.1391541957855225,2.740478515625,6553600
vision,3,mlp.c_proj,3,64,8,128,3.785550594329834,2.5421142578125,6553600
vision,3,mlp.c_proj,3,128,8,128,4.464083671569824,2.44293212890625,6553600
vision,3,mlp.c_proj,4,32,8,128,1.470772624015808,3.521728515625,6553600
vision,3,mlp.c_proj,4,64,8,128,1.7801456451416016,3.3233642578125,6553600
vision,3,mlp.c_proj,4,128,8,128,2.1119790077209473,3.22418212890625,6553600
vision,3,mlp.c_proj,8,32,8,128,0.09107784926891327,6.646728515625,6553600
vision,3,mlp.c_proj,8,64,8,128,0.1091601550579071,6.4483642578125,6553600
vision,3,mlp.c_proj,8,128,8,128,0.12841303646564484,6.34918212890625,6553600
vision,4,attn.out_proj,2,32,8,128,4.625309944152832,0.48980712890625,1638400
vision,4,attn.out_proj,2,64,8,128,5.490284442901611,0.440216064453125,1638400
vision,4,attn.out_proj,2,128,8,128,6.309837818145752,0.4154205322265625,1638400
vision,4,attn.out_proj,3,32,8,128,1.9850387573242188,0.68511962890625,1638400
vision,4,attn.out_proj,3,64,8,128,2.367107391357422,0.635528564453125,1638400
vision,4,attn.out_proj,3,128,8,128,2.7475996017456055,0.6107330322265625,1638400
vision,4,attn.out_proj,4,32,8,128,0.9249839782714844,0.88043212890625,1638400
vision,4,attn.out_proj,4,64,8,128,1.104475498199463,0.830841064453125,1638400
vision,4,attn.out_proj,4,128,8,128,1.279934048652649,0.8060455322265625,1638400
vision,4,attn.out_proj,8,32,8,128,0.05608252063393593,1.66168212890625,1638400
vision,4,attn.out_proj,8,64,8,128,0.06685586273670197,1.612091064453125,1638400
vision,4,attn.out_proj,8,128,8,128,0.07721563428640366,1.5872955322265625,1638400
vision,4,mlp.c_fc,2,32,8,128,8.91085433959961,1.959228515625,6553600
vision,4,mlp.c_fc,2,64,8,128,10.422277450561523,1.7608642578125,6553600
vision,4,mlp.c_fc,2,128,8,128,11.807186126708984,1.66168212890625,6553600
vision,4,mlp.c_fc,3,32,8,128,3.9699862003326416,2.740478515625,6553600
vision,4,mlp.c_fc,3,64,8,128,4.674673080444336,2.5421142578125,6553600
vision,4,mlp.c_fc,3,128,8,128,5.327943801879883,2.44293212890625,6553600
vision,4,mlp.c_fc,4,32,8,128,1.9187177419662476,3.521728515625,6553600
vision,4,mlp.c_fc,4,64,8,128,2.280102252960205,3.3233642578125,6553600
