type,module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
text,attn.in_proj_bias,2304,0,1.0696152230593725e-06,0.5089587107300705,3.4014486849308074,4.458011202430564,4.6756696701049805,180.4272567542165
text,attn.in_proj_bias,2304,1,6.584702987311175e-07,2.209994268417343,3.143936019420628,3.3144073591232273,3.3179500102996826,37.865574231393964
text,attn.in_proj_bias,2304,2,2.1209912119957153e-06,1.5546131682395858,3.776341902971275,4.587218546962634,4.72751522064209,73.87215578373208
text,attn.in_proj_bias,2304,3,1.8693364154387382e-06,2.190818741321542,3.8368876645565035,4.169045384526183,4.26303243637085,56.36034245245545
text,attn.in_proj_bias,2304,4,7.825453707255292e-08,1.5178518390655507,4.236561329841617,4.592171791458068,4.6754937171936035,79.88784445316276
text,attn.in_proj_bias,2304,5,2.928483979758312e-07,1.6057447004318235,4.215623708725006,5.655675270318684,6.062265872955322,88.2128281119077
text,attn.in_proj_bias,2304,6,8.197106581064872e-06,1.8510593461990024,4.911879777908326,5.495952234029716,5.568697929382324,93.5695083292074
text,attn.in_proj_bias,2304,7,4.918075319437776e-06,1.3412786495685574,4.831368235588121,5.475400980949358,5.534584999084473,108.44272022078057
text,attn.in_proj_bias,2304,8,1.0202392331848387e-05,1.3538188946246903,5.298764621257853,6.044025307369224,6.055365085601807,130.27749192328892
text,attn.in_proj_bias,2304,9,8.708259429113241e-07,0.9042466622591019,5.156058982372285,5.9962142090797395,6.000050067901611,143.55611721366043
text,attn.in_proj_bias,2304,10,3.756041451197234e-06,1.1806275510787907,3.8117768197060182,4.788362860059664,4.888632297515869,74.85437913723884
text,attn.in_proj_bias,2304,11,6.280170055106282e-07,1.0177689039707183,3.934689165115384,4.702207278108497,4.838075637817383,105.10893600840204
text,attn.in_proj_weight,1769472,0,3.185512298387039e-08,0.0543016190081835,0.07276617497950899,0.09648161958675393,0.38883936405181885,4.064220886068341
text,attn.in_proj_weight,1769472,1,1.550522349402783e-10,0.05073816016316414,0.06877186787128453,0.08597727801501218,0.19558914005756378,3.727507257158044
text,attn.in_proj_weight,1769472,2,6.072500280396298e-09,0.05008394595235588,0.06701218837499645,0.08546078703402896,0.16982842981815338,3.5499619047635695
text,attn.in_proj_weight,1769472,3,4.036348144609292e-09,0.04857291784137488,0.06504348734021212,0.08431424873471059,0.23983372747898102,3.5044086242837866
text,attn.in_proj_weight,1769472,4,2.258680709132932e-08,0.0475370326265693,0.06358766189217571,0.07983763292058445,0.15396243333816528,3.390821495457392
text,attn.in_proj_weight,1769472,5,1.1776164043908466e-08,0.04722144164144993,0.06272604799270681,0.08143684145135553,0.1892750859260559,3.3768210691102505
text,attn.in_proj_weight,1769472,6,1.1967498991793946e-08,0.046893998757004764,0.06209393768757617,0.07836358949690768,0.17140072584152222,3.311291743983598
text,attn.in_proj_weight,1769472,7,6.839499189226217e-09,0.046710617318749446,0.061587759803980666,0.07766375214010221,0.18348973989486694,3.294735164049482
text,attn.in_proj_weight,1769472,8,3.043892249365854e-08,0.04678527761250738,0.06147224265709528,0.07898579709306315,0.18263883888721466,3.2826719873844463
text,attn.in_proj_weight,1769472,9,5.352271958969368e-09,0.046148177683353456,0.060518696930260185,0.07815872434153055,0.18011927604675293,3.2518592115547076
text,attn.in_proj_weight,1769472,10,4.581307333495488e-09,0.044644350521266474,0.05886007476970563,0.0772900524236254,0.18824468553066254,3.224263010785243
text,attn.in_proj_weight,1769472,11,1.9724856414882197e-08,0.04444889687001705,0.05913963173702373,0.07751198661773191,0.17074936628341675,3.2624602191784726
text,attn.out_proj.bias,768,0,0.00017982799909077585,0.38805401235818915,1.2609632091522616,1.714004183578443,1.7643420696258545,22.20330038791143
text,attn.out_proj.bias,768,1,2.4463610316161066e-05,0.26199127078056456,0.681064132928884,1.0859727625131177,1.130962610244751,20.747208064162372
text,attn.out_proj.bias,768,2,0.00031822739401832223,0.17948001608252617,0.5670620531439806,0.5955857607781857,0.5987550616264343,14.02458685467977
text,attn.out_proj.bias,768,3,0.00016547105042263865,0.1663200615346432,0.38019577714803127,0.6399004142015896,0.6687564849853516,10.26055395981569
text,attn.out_proj.bias,768,4,0.00017654415569268167,0.17093942150473598,0.5582257722617037,1.5112951925872742,1.6171917915344238,110.86086300896268
text,attn.out_proj.bias,768,5,1.544349106552545e-05,0.2194002734124661,0.7227712624073945,1.7621551667927589,1.877642273902893,117.98697876032733
