layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
0,mlp.gate_proj,2,32,8,128,41.34375,13.4794921875,45088768,4.269190067451742,0.20925804264925912,2.4060666419245536e-6
0,mlp.gate_proj,2,64,8,128,48.5625,12.11474609375,45088768,4.269190067451742,0.20925804264925912,3.2583704978605965e-6
0,mlp.gate_proj,2,128,8,128,55.34375,11.432373046875,45088768,4.269190067451742,0.20925804264925912,4.5886549742135685e-6
0,mlp.gate_proj,3,32,8,128,17.703125,18.8544921875,45088768,4.269190067451742,0.20925804264925912,4.204481456326903e-7
0,mlp.gate_proj,3,64,8,128,20.859375,17.48974609375,45088768,4.269190067451742,0.20925804264925912,6.056709480617428e-7
0,mlp.gate_proj,3,128,8,128,23.890625,16.807373046875,45088768,4.269190067451742,0.20925804264925912,8.344591151399072e-7
0,mlp.gate_proj,4,32,8,128,8.265625,24.2294921875,45088768,4.269190067451742,0.20925804264925912,9.10283617372443e-8
0,mlp.gate_proj,4,64,8,128,9.7421875,22.86474609375,45088768,4.269190067451742,0.20925804264925912,1.3132982701336005e-7
0,mlp.gate_proj,4,128,8,128,11.1640625,22.182373046875,45088768,4.269190067451742,0.20925804264925912,1.861595251284598e-7
0,mlp.gate_proj,8,32,8,128,0.5,45.7294921875,45088768,4.269190067451742,0.20925804264925912,3.95098204153399e-10
0,mlp.gate_proj,8,64,8,128,0.5888671875,44.36474609375,45088768,4.269190067451742,0.20925804264925912,5.712635919863374e-10
0,mlp.gate_proj,8,128,8,128,0.6728515625,43.682373046875,45088768,4.269190067451742,0.20925804264925912,7.77708064614302e-10
0,mlp.up_proj,2,32,8,128,40.375,13.4794921875,45088768,3.1257809370322978,0.01611704485191324,2.4060666419245536e-6
0,mlp.up_proj,2,64,8,128,47.09375,12.11474609375,45088768,3.1257809370322978,0.01611704485191324,3.2583704978605965e-6
0,mlp.up_proj,2,128,8,128,53.21875,11.432373046875,45088768,3.1257809370322978,0.01611704485191324,4.5886549742135685e-6
0,mlp.up_proj,3,32,8,128,17.265625,18.8544921875,45088768,3.1257809370322978,0.01611704485191324,4.204481456326903e-7
0,mlp.up_proj,3,64,8,128,20.15625,17.48974609375,45088768,3.1257809370322978,0.01611704485191324,6.056709480617428e-7
0,mlp.up_proj,3,128,8,128,22.8125,16.807373046875,45088768,3.1257809370322978,0.01611704485191324,8.344591151399072e-7
0,mlp.up_proj,4,32,8,128,8.0546875,24.2294921875,45088768,3.1257809370322978,0.01611704485191324,9.10283617372443e-8
0,mlp.up_proj,4,64,8,128,9.4140625,22.86474609375,45088768,3.1257809370322978,0.01611704485191324,1.3132982701336005e-7
0,mlp.up_proj,4,128,8,128,10.6484375,22.182373046875,45088768,3.1257809370322978,0.01611704485191324,1.861595251284598e-7
0,mlp.up_proj,8,32,8,128,0.487548828125,45.7294921875,45088768,3.1257809370322978,0.01611704485191324,3.95098204153399e-10
