module,layer,param_count,kurtosis
self_attn.q_proj,3,8388608,5.0277843
self_attn.q_proj,7,8388608,5.1532836
self_attn.q_proj,11,8388608,5.3287954
self_attn.q_proj,15,8388608,4.7168055
self_attn.q_proj,19,8388608,4.6304846
self_attn.q_proj,23,8388608,5.8765287
self_attn.k_proj,3,1048576,4.6444693
self_attn.k_proj,7,1048576,4.4860487
self_attn.k_proj,11,1048576,4.604759
self_attn.k_proj,15,1048576,5.360387
self_attn.k_proj,19,1048576,7.1861386
self_attn.k_proj,23,1048576,12.760023
self_attn.v_proj,3,1048576,4.4509068
self_attn.v_proj,7,1048576,5.3137
self_attn.v_proj,11,1048576,4.194556
self_attn.v_proj,15,1048576,13.012826
self_attn.v_proj,19,1048576,16.61837
self_attn.v_proj,23,1048576,12.059926
self_attn.o_proj,3,4194304,4.886184
self_attn.o_proj,7,4194304,4.7875624
self_attn.o_proj,11,4194304,4.7500644
self_attn.o_proj,15,4194304,4.215883
self_attn.o_proj,19,4194304,4.1249657
self_attn.o_proj,23,4194304,6.517885
mlp.gate_proj,0,12582912,3.3904963
mlp.gate_proj,1,12582912,3.2839172
mlp.gate_proj,2,12582912,3.350311
mlp.gate_proj,3,12582912,3.6600118
mlp.gate_proj,4,12582912,3.6891878
mlp.gate_proj,5,12582912,3.6891286
mlp.gate_proj,6,12582912,4.301425
mlp.gate_proj,7,12582912,3.8025322
mlp.gate_proj,8,12582912,3.8589342
mlp.gate_proj,9,12582912,3.9726553
mlp.gate_proj,10,12582912,4.4773192
mlp.gate_proj,11,12582912,4.5537705
mlp.gate_proj,12,12582912,5.6150603
mlp.gate_proj,13,12582912,5.7260203
mlp.gate_proj,14,12582912,8.26122
mlp.gate_proj,15,12582912,6.252581
mlp.gate_proj,16,12582912,5.2100415
mlp.gate_proj,17,12582912,4.8293366
mlp.gate_proj,18,12582912,4.202541
mlp.gate_proj,19,12582912,4.3352003
mlp.gate_proj,20,12582912,3.9391723
mlp.gate_proj,21,12582912,4.5838675
mlp.gate_proj,22,12582912,5.125858
mlp.gate_proj,23,12582912,5.320228
mlp.down_proj,0,12582912,4.5391493
mlp.down_proj,1,12582912,4.398298
mlp.down_proj,2,12582912,5.6392407
mlp.down_proj,3,12582912,4.2000966
mlp.down_proj,4,12582912,3.9346745
mlp.down_proj,5,12582912,3.946289
mlp.down_proj,6,12582912,3.7718606
mlp.down_proj,7,12582912,4.1004167
mlp.down_proj,8,12582912,3.991521
mlp.down_proj,9,12582912,4.1746616
mlp.down_proj,10,12582912,4.0149164
mlp.down_proj,11,12582912,4.1170287
mlp.down_proj,12,12582912,3.8928301
mlp.down_proj,13,12582912,3.9152489
mlp.down_proj,14,12582912,4.3327093
mlp.down_proj,15,12582912,4.348128
mlp.down_proj,16,12582912,3.789775
mlp.down_proj,17,12582912,3.6216552
mlp.down_proj,18,12582912,3.8173864
mlp.down_proj,19,12582912,3.7546656
mlp.down_proj,20,12582912,3.5100055
mlp.down_proj,21,12582912,3.5075018
mlp.down_proj,22,12582912,3.9499876
mlp.down_proj,23,12582912,13.228756
mlp.up_proj,0,12582912,3.1328764
mlp.up_proj,1,12582912,3.1352847
mlp.up_proj,2,12582912,3.228597
mlp.up_proj,3,12582912,3.1977143
mlp.up_proj,4,12582912,3.2481172
mlp.up_proj,5,12582912,3.2800477
mlp.up_proj,6,12582912,3.456879
mlp.up_proj,7,12582912,3.3950188
mlp.up_proj,8,12582912,3.4309454
mlp.up_proj,9,12582912,3.4608068
mlp.up_proj,10,12582912,3.4975176
mlp.up_proj,11,12582912,3.485689
mlp.up_proj,12,12582912,3.4660988
mlp.up_proj,13,12582912,3.4928846
mlp.up_proj,14,12582912,3.86675
mlp.up_proj,15,12582912,3.8536894
mlp.up_proj,16,12582912,3.3933249
mlp.up_proj,17,12582912,3.3315084
mlp.up_proj,18,12582912,3.2948089
mlp.up_proj,19,12582912,3.2728415
mlp.up_proj,20,12582912,3.235067
mlp.up_proj,21,12582912,3.3225892
mlp.up_proj,22,12582912,3.4322636
mlp.up_proj,23,12582912,3.9790921
