model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-2B,gptq,b4g128,4.13,,12.9254,17.6625,2.25,2.23,212.0151734352112,2000000000
Qwen3.5-4B,gptq,b3g64,3.25,,10.6206,14.9899,3.29,3.19,409.8225667476654,4000000000
Qwen3.5-2B,gptq,b8g32,8.51,,11.6724,16.8599,3.05,2.97,214.3338017463684,2000000000
Qwen3.5-4B,gptq,b3g128,3.13,,12.234,15.3943,3.18,3.12,408.7303173542023,4000000000
Qwen3.5-9B,gptq,b8g32,8.51,,8.2448,11.688,11.75,11.7,600.9079530239105,9000000000
Qwen3.5-2B,gptq,b8g128,8.13,,11.6814,16.8581,2.9,2.88,212.80433106422424,2000000000
Qwen3.5-9B,gptq,b8g64,8.25,,8.2364,11.6893,11.44,11.4,602.0379874706268,9000000000
Qwen3.5-4B,gptq,b4g32,4.51,,9.5061,13.6445,3.94,3.74,405.3454735279083,4000000000
Qwen3.5-4B,gptq,b4g64,4.25,,9.4794,13.7384,3.71,3.61,401.93290066719055,4000000000
Qwen3.5-9B,gptq,b4g32,4.51,,8.2329,11.8513,8.55,8.38,599.9016981124878,9000000000
Qwen3.5-9B,gptq,b4g64,4.25,,8.1113,11.899,8.2,8.13,597.1400740146637,9000000000
Qwen3.5-9B,hqq,b4g128,4.13,,8.7188,12.0514,10.28,10.28,20.406242847442627,9000000000
Qwen3.5-4B,hqq,b3g64,3.25,,10.6503,15.1086,5.98,5.98,10.110746383666992,4000000000
Qwen3.5-2B,hqq,b8g128,8.13,,11.7143,16.8586,4.17,4.17,2.681431293487549,2000000000
Qwen3.5-2B,hqq,b4g128,4.13,,12.3464,17.8274,3.71,3.71,3.1195828914642334,2000000000
Qwen3.5-2B,hqq,b2g64,2.25,,233.5232,224.2397,3.51,3.51,3.108539342880249,2000000000
Qwen3.5-2B,hqq,b8g32,8.51,,11.6727,16.8477,4.26,4.26,2.9126694202423096,2000000000
Qwen3.5-9B,hqq,b8g64,8.25,,8.2468,11.6849,12.9,12.9,18.58454728126526,9000000000
Qwen3.5-9B,hqq,b4g64,4.25,,8.5449,11.9417,10.43,10.43,19.95913004875183,9000000000
Qwen3.5-9B,hqq,b2g64,2.25,,174.843,176.5975,9.2,9.2,19.05396413803101,9000000000
Qwen3.5-2B,hqq,b3g64,3.25,,14.7433,20.7189,3.65,3.65,3.305943727493286,2000000000
Qwen3.5-2B,hqq,b2g16,3.02,,25.4173,33.0995,3.68,3.68,3.2044620513916016,2000000000
Qwen3.5-9B,hqq,b3g32,3.51,,9.224,12.6108,10.25,10.24,21.77856707572937,9000000000
Qwen3.5-4B,hqq,b2g64,2.25,,49.172,61.6054,5.62,5.62,8.68039846420288,4000000000
Qwen3.5-4B,hqq,b4g128,4.13,,9.4226,13.8313,6.14,6.14,9.779460668563845,4000000000
Qwen3.5-4B,hqq,b3g32,3.51,,10.1777,14.5357,6.13,6.12,9.729926824569702,4000000000
