module,layer,param_count,kurtosis
self_attn.q_proj,3,33554432,3.989754
self_attn.q_proj,7,33554432,3.9729621
self_attn.q_proj,11,33554432,4.2084146
self_attn.q_proj,15,33554432,4.4384336
self_attn.q_proj,19,33554432,4.5872087
self_attn.q_proj,23,33554432,4.194478
self_attn.q_proj,27,33554432,4.595171
self_attn.q_proj,31,33554432,4.7901816
self_attn.k_proj,3,4194304,4.09672
self_attn.k_proj,7,4194304,4.472584
self_attn.k_proj,11,4194304,4.774956
self_attn.k_proj,15,4194304,4.9408226
self_attn.k_proj,19,4194304,4.4379005
self_attn.k_proj,23,4194304,5.6801076
self_attn.k_proj,27,4194304,7.156368
self_attn.k_proj,31,4194304,8.959412
self_attn.v_proj,3,4194304,3.8548286
self_attn.v_proj,7,4194304,3.835445
self_attn.v_proj,11,4194304,4.088344
self_attn.v_proj,15,4194304,3.655578
self_attn.v_proj,19,4194304,5.2583985
self_attn.v_proj,23,4194304,4.497404
self_attn.v_proj,27,4194304,8.847814
self_attn.v_proj,31,4194304,9.754842
self_attn.o_proj,3,16777216,19.406347
self_attn.o_proj,7,16777216,5.5394726
self_attn.o_proj,11,16777216,4.649669
self_attn.o_proj,15,16777216,4.142811
self_attn.o_proj,19,16777216,4.199798
self_attn.o_proj,23,16777216,4.8697257
self_attn.o_proj,27,16777216,4.412939
self_attn.o_proj,31,16777216,5.56075
mlp.gate_proj,0,50331648,3.3447855
mlp.gate_proj,1,50331648,3.2692344
mlp.gate_proj,2,50331648,3.1328034
mlp.gate_proj,3,50331648,3.1290796
mlp.gate_proj,4,50331648,3.168959
mlp.gate_proj,5,50331648,3.1782875
mlp.gate_proj,6,50331648,3.3941665
mlp.gate_proj,7,50331648,3.2688177
mlp.gate_proj,8,50331648,3.265308
mlp.gate_proj,9,50331648,3.3237805
mlp.gate_proj,10,50331648,3.4852853
mlp.gate_proj,11,50331648,3.4093645
mlp.gate_proj,12,50331648,3.4404988
mlp.gate_proj,13,50331648,3.461129
mlp.gate_proj,14,50331648,3.521335
mlp.gate_proj,15,50331648,3.569597
mlp.gate_proj,16,50331648,3.7636592
mlp.gate_proj,17,50331648,4.081457
mlp.gate_proj,18,50331648,4.981554
mlp.gate_proj,19,50331648,4.2751637
mlp.gate_proj,20,50331648,4.158226
mlp.gate_proj,21,50331648,4.279917
mlp.gate_proj,22,50331648,4.1902747
mlp.gate_proj,23,50331648,3.751507
mlp.gate_proj,24,50331648,3.6349378
mlp.gate_proj,25,50331648,3.6384692
mlp.gate_proj,26,50331648,3.5364034
mlp.gate_proj,27,50331648,3.5913925
mlp.gate_proj,28,50331648,3.7696116
mlp.gate_proj,29,50331648,3.8830993
mlp.gate_proj,30,50331648,3.989018
mlp.gate_proj,31,50331648,4.265994
mlp.down_proj,0,50331648,7.0142584
mlp.down_proj,1,50331648,6.160275
mlp.down_proj,2,50331648,4.1915936
mlp.down_proj,3,50331648,4.0496306
mlp.down_proj,4,50331648,4.144648
mlp.down_proj,5,50331648,4.5798755
mlp.down_proj,6,50331648,5.2825856
mlp.down_proj,7,50331648,4.0564075
mlp.down_proj,8,50331648,4.2454667
mlp.down_proj,9,50331648,4.0590034
mlp.down_proj,10,50331648,4.0139227
mlp.down_proj,11,50331648,3.9180107
mlp.down_proj,12,50331648,3.6264453
mlp.down_proj,13,50331648,3.6650798
mlp.down_proj,14,50331648,3.823835
mlp.down_proj,15,50331648,3.7257414
mlp.down_proj,16,50331648,3.8331358
mlp.down_proj,17,50331648,3.642137
mlp.down_proj,18,50331648,4.075739
mlp.down_proj,19,50331648,3.6368344
mlp.down_proj,20,50331648,3.4230766
mlp.down_proj,21,50331648,3.43848
mlp.down_proj,22,50331648,3.7067912
mlp.down_proj,23,50331648,3.5170639
mlp.down_proj,24,50331648,3.4065464
mlp.down_proj,25,50331648,3.2691078
mlp.down_proj,26,50331648,3.523718
mlp.down_proj,27,50331648,4.1702743
mlp.down_proj,28,50331648,3.4492981
mlp.down_proj,29,50331648,3.408188
mlp.down_proj,30,50331648,3.8808296
mlp.down_proj,31,50331648,4.544109
mlp.up_proj,0,50331648,3.076689
mlp.up_proj,1,50331648,3.1532652
mlp.up_proj,2,50331648,3.1081076
mlp.up_proj,3,50331648,3.0937166
mlp.up_proj,4,50331648,3.1254356
mlp.up_proj,5,50331648,3.1426816
mlp.up_proj,6,50331648,3.2854843
mlp.up_proj,7,50331648,3.1536574
mlp.up_proj,8,50331648,3.163418
mlp.up_proj,9,50331648,3.1941578
mlp.up_proj,10,50331648,3.289147
mlp.up_proj,11,50331648,3.234174
mlp.up_proj,12,50331648,3.2543943
mlp.up_proj,13,50331648,3.2672546
mlp.up_proj,14,50331648,3.3077161
mlp.up_proj,15,50331648,3.3114212
mlp.up_proj,16,50331648,3.3476734
mlp.up_proj,17,50331648,3.3499246
mlp.up_proj,18,50331648,3.5174336
mlp.up_proj,19,50331648,3.3898587
mlp.up_proj,20,50331648,3.2659378
mlp.up_proj,21,50331648,3.2645295
mlp.up_proj,22,50331648,3.2764528
mlp.up_proj,23,50331648,3.2060304
mlp.up_proj,24,50331648,3.1616106
mlp.up_proj,25,50331648,3.151974
mlp.up_proj,26,50331648,3.1645308
mlp.up_proj,27,50331648,3.205326
mlp.up_proj,28,50331648,3.1978824
mlp.up_proj,29,50331648,3.3024304
mlp.up_proj,30,50331648,3.3768694
mlp.up_proj,31,50331648,3.5332823
