layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
3,self_attn.q_proj,2,32,8,128,41.57857894897461,10.03125,33554432
3,self_attn.q_proj,2,64,8,128,49.6146354675293,9.015625,33554432
3,self_attn.q_proj,2,128,8,128,57.1600456237793,8.5078125,33554432
3,self_attn.q_proj,3,32,8,128,17.808176040649414,14.03125,33554432
3,self_attn.q_proj,3,64,8,128,21.30630111694336,13.015625,33554432
3,self_attn.q_proj,3,128,8,128,24.662878036499023,12.5078125,33554432
3,self_attn.q_proj,4,32,8,128,8.312260627746582,18.03125,33554432
3,self_attn.q_proj,4,64,8,128,9.945093154907227,17.015625,33554432
3,self_attn.q_proj,4,128,8,128,11.515970230102539,16.5078125,33554432
3,self_attn.q_proj,8,32,8,128,0.5031796097755432,34.03125,33554432
3,self_attn.q_proj,8,64,8,128,0.6022937297821045,33.015625,33554432
3,self_attn.q_proj,8,128,8,128,0.6955158710479736,32.5078125,33554432
7,self_attn.q_proj,2,32,8,128,36.75360870361328,10.03125,33554432
7,self_attn.q_proj,2,64,8,128,43.87311553955078,9.015625,33554432
7,self_attn.q_proj,2,128,8,128,50.55413055419922,8.5078125,33554432
7,self_attn.q_proj,3,32,8,128,15.75416088104248,14.03125,33554432
7,self_attn.q_proj,3,64,8,128,18.868589401245117,13.015625,33554432
7,self_attn.q_proj,3,128,8,128,21.887510299682617,12.5078125,33554432
7,self_attn.q_proj,4,32,8,128,7.351405143737793,18.03125,33554432
7,self_attn.q_proj,4,64,8,128,8.808781623840332,17.015625,33554432
7,self_attn.q_proj,4,128,8,128,10.220773696899414,16.5078125,33554432
7,self_attn.q_proj,8,32,8,128,0.4450019598007202,34.03125,33554432
7,self_attn.q_proj,8,64,8,128,0.5330676436424255,33.015625,33554432
7,self_attn.q_proj,8,128,8,128,0.617375373840332,32.5078125,33554432
11,self_attn.q_proj,2,32,8,128,34.52593994140625,10.03125,33554432
11,self_attn.q_proj,2,64,8,128,41.292720794677734,9.015625,33554432
11,self_attn.q_proj,2,128,8,128,47.723670959472656,8.5078125,33554432
11,self_attn.q_proj,3,32,8,128,14.823507308959961,14.03125,33554432
11,self_attn.q_proj,3,64,8,128,17.820838928222656,13.015625,33554432
11,self_attn.q_proj,3,128,8,128,20.784618377685547,12.5078125,33554432
11,self_attn.q_proj,4,32,8,128,6.916573524475098,18.03125,33554432
11,self_attn.q_proj,4,64,8,128,8.321233749389648,17.015625,33554432
11,self_attn.q_proj,4,128,8,128,9.710668563842773,16.5078125,33554432
11,self_attn.q_proj,8,32,8,128,0.41888684034347534,34.03125,33554432
11,self_attn.q_proj,8,64,8,128,0.5035123825073242,33.015625,33554432
11,self_attn.q_proj,8,128,8,128,0.5865190029144287,32.5078125,33554432
15,self_attn.q_proj,2,32,8,128,32.313148498535156,10.03125,33554432
15,self_attn.q_proj,2,64,8,128,38.65675354003906,9.015625,33554432
15,self_attn.q_proj,2,128,8,128,44.71211624145508,8.5078125,33554432
15,self_attn.q_proj,3,32,8,128,13.865192413330078,14.03125,33554432
15,self_attn.q_proj,3,64,8,128,16.70913314819336,13.015625,33554432
15,self_attn.q_proj,3,128,8,128,19.54465675354004,12.5078125,33554432
15,self_attn.q_proj,4,32,8,128,6.469272613525391,18.03125,33554432
15,self_attn.q_proj,4,64,8,128,7.805042266845703,17.015625,33554432
15,self_attn.q_proj,4,128,8,128,9.139060020446777,16.5078125,33554432
15,self_attn.q_proj,8,32,8,128,0.3919450640678406,34.03125,33554432
15,self_attn.q_proj,8,64,8,128,0.4720751941204071,33.015625,33554432
15,self_attn.q_proj,8,128,8,128,0.5517300367355347,32.5078125,33554432
19,self_attn.q_proj,2,32,8,128,30.987354278564453,10.03125,33554432
19,self_attn.q_proj,2,64,8,128,37.09132766723633,9.015625,33554432
19,self_attn.q_proj,2,128,8,128,42.89404296875,8.5078125,33554432
19,self_attn.q_proj,3,32,8,128,13.281824111938477,14.03125,33554432
19,self_attn.q_proj,3,64,8,128,16.023759841918945,13.015625,33554432
19,self_attn.q_proj,3,128,8,128,18.712759017944336,12.5078125,33554432
19,self_attn.q_proj,4,32,8,128,6.196561336517334,18.03125,33554432
19,self_attn.q_proj,4,64,8,128,7.4785308837890625,17.015625,33554432
19,self_attn.q_proj,4,128,8,128,8.745779991149902,16.5078125,33554432
19,self_attn.q_proj,8,32,8,128,0.37561312317848206,34.03125,33554432
19,self_attn.q_proj,8,64,8,128,0.4525514841079712,33.015625,33554432
19,self_attn.q_proj,8,128,8,128,0.527492344379425,32.5078125,33554432
23,self_attn.q_proj,2,32,8,128,32.16618728637695,10.03125,33554432
23,self_attn.q_proj,2,64,8,128,38.36921691894531,9.015625,33554432
23,self_attn.q_proj,2,128,8,128,44.33662796020508,8.5078125,33554432
23,self_attn.q_proj,3,32,8,128,13.778663635253906,14.03125,33554432
23,self_attn.q_proj,3,64,8,128,16.533742904663086,13.015625,33554432
23,self_attn.q_proj,3,128,8,128,19.263389587402344,12.5078125,33554432
23,self_attn.q_proj,4,32,8,128,6.429476737976074,18.03125,33554432
23,self_attn.q_proj,4,64,8,128,7.718149662017822,17.015625,33554432
23,self_attn.q_proj,4,128,8,128,8.99566650390625,16.5078125,33554432
23,self_attn.q_proj,8,32,8,128,0.3895227015018463,34.03125,33554432
23,self_attn.q_proj,8,64,8,128,0.4668763279914856,33.015625,33554432
23,self_attn.q_proj,8,128,8,128,0.5428145527839661,32.5078125,33554432
27,self_attn.q_proj,2,32,8,128,31.191959381103516,10.03125,33554432
27,self_attn.q_proj,2,64,8,128,37.44607925415039,9.015625,33554432
27,self_attn.q_proj,2,128,8,128,43.48606872558594,8.5078125,33554432
27,self_attn.q_proj,3,32,8,128,13.39675235748291,14.03125,33554432
27,self_attn.q_proj,3,64,8,128,16.20391845703125,13.015625,33554432
27,self_attn.q_proj,3,128,8,128,18.973325729370117,12.5078125,33554432
27,self_attn.q_proj,4,32,8,128,6.252243995666504,18.03125,33554432
27,self_attn.q_proj,4,64,8,128,7.563384532928467,17.015625,33554432
27,self_attn.q_proj,4,128,8,128,8.872228622436523,16.5078125,33554432
27,self_attn.q_proj,8,32,8,128,0.37878653407096863,34.03125,33554432
27,self_attn.q_proj,8,64,8,128,0.45761191844940186,33.015625,33554432
27,self_attn.q_proj,8,128,8,128,0.5352053642272949,32.5078125,33554432
31,self_attn.q_proj,2,32,8,128,31.748273849487305,10.03125,33554432
31,self_attn.q_proj,2,64,8,128,37.92271423339844,9.015625,33554432
31,self_attn.q_proj,2,128,8,128,43.857139587402344,8.5078125,33554432
31,self_attn.q_proj,3,32,8,128,13.595728874206543,14.03125,33554432
31,self_attn.q_proj,3,64,8,128,16.318326950073242,13.015625,33554432
31,self_attn.q_proj,3,128,8,128,18.97793197631836,12.5078125,33554432
31,self_attn.q_proj,4,32,8,128,6.345261096954346,18.03125,33554432
31,self_attn.q_proj,4,64,8,128,7.615381717681885,17.015625,33554432
31,self_attn.q_proj,4,128,8,128,8.861783981323242,16.5078125,33554432
31,self_attn.q_proj,8,32,8,128,0.3844497799873352,34.03125,33554432
31,self_attn.q_proj,8,64,8,128,0.4608170688152313,33.015625,33554432
31,self_attn.q_proj,8,128,8,128,0.5347520112991333,32.5078125,33554432
3,self_attn.k_proj,2,32,8,128,13.015609741210938,1.25390625,4194304
3,self_attn.k_proj,2,64,8,128,15.43131160736084,1.126953125,4194304
3,self_attn.k_proj,2,128,8,128,17.65207862854004,1.0634765625,4194304
3,self_attn.k_proj,3,32,8,128,5.571532249450684,1.75390625,4194304
3,self_attn.k_proj,3,64,8,128,6.6214752197265625,1.626953125,4194304
3,self_attn.k_proj,3,128,8,128,7.611937522888184,1.5634765625,4194304
3,self_attn.k_proj,4,32,8,128,2.5996105670928955,2.25390625,4194304
3,self_attn.k_proj,4,64,8,128,3.0911006927490234,2.126953125,4194304
3,self_attn.k_proj,4,128,8,128,3.5543811321258545,2.0634765625,4194304
3,self_attn.k_proj,8,32,8,128,0.15745213627815247,4.25390625,4194304
3,self_attn.k_proj,8,64,8,128,0.1869008094072342,4.126953125,4194304
3,self_attn.k_proj,8,128,8,128,0.214138925075531,4.0634765625,4194304
7,self_attn.k_proj,2,32,8,128,12.46766471862793,1.25390625,4194304
7,self_attn.k_proj,2,64,8,128,14.763934135437012,1.126953125,4194304
7,self_attn.k_proj,2,128,8,128,16.870277404785156,1.0634765625,4194304
7,self_attn.k_proj,3,32,8,128,5.373745441436768,1.75390625,4194304
7,self_attn.k_proj,3,64,8,128,6.402993679046631,1.626953125,4194304
7,self_attn.k_proj,3,128,8,128,7.376126289367676,1.5634765625,4194304
7,self_attn.k_proj,4,32,8,128,2.5088350772857666,2.25390625,4194304
7,self_attn.k_proj,4,64,8,128,2.993222236633301,2.126953125,4194304
7,self_attn.k_proj,4,128,8,128,3.4545226097106934,2.0634765625,4194304
7,self_attn.k_proj,8,32,8,128,0.15184436738491058,4.25390625,4194304
7,self_attn.k_proj,8,64,8,128,0.18095417320728302,4.126953125,4194304
7,self_attn.k_proj,8,128,8,128,0.20817700028419495,4.0634765625,4194304
11,self_attn.k_proj,2,32,8,128,12.302533149719238,1.25390625,4194304
11,self_attn.k_proj,2,64,8,128,14.590747833251953,1.126953125,4194304
11,self_attn.k_proj,2,128,8,128,16.668476104736328,1.0634765625,4194304
11,self_attn.k_proj,3,32,8,128,5.3152546882629395,1.75390625,4194304
11,self_attn.k_proj,3,64,8,128,6.349734783172607,1.626953125,4194304
11,self_attn.k_proj,3,128,8,128,7.332413673400879,1.5634765625,4194304
11,self_attn.k_proj,4,32,8,128,2.4820923805236816,2.25390625,4194304
11,self_attn.k_proj,4,64,8,128,2.9697132110595703,2.126953125,4194304
11,self_attn.k_proj,4,128,8,128,3.4361019134521484,2.0634765625,4194304
11,self_attn.k_proj,8,32,8,128,0.15021103620529175,4.25390625,4194304
11,self_attn.k_proj,8,64,8,128,0.17961102724075317,4.126953125,4194304
11,self_attn.k_proj,8,128,8,128,0.2070818990468979,4.0634765625,4194304
15,self_attn.k_proj,2,32,8,128,12.061227798461914,1.25390625,4194304
15,self_attn.k_proj,2,64,8,128,14.342109680175781,1.126953125,4194304
