model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-7b-hf,hqq,b8g128,8.13,,5.2076,6.9741,6.71,6.62,16.541415691375732,7000000000
Llama-2-13b-hf,hqq,b8g64,8.25,,4.6443,6.465,13.02,12.8,32.57941198348999,13000000000
Llama-2-7b-hf,hqq,b4g32,4.51,,5.2843,7.072,3.93,3.89,19.446409463882446,7000000000
Llama-2-13b-hf,hqq,b4g128,4.13,,4.7378,6.5696,6.74,6.71,48.4294548034668,13000000000
Llama-2-13b-hf,hqq,b3g128,3.13,,5.1523,7.1368,5.67,5.6,51.76061177253723,13000000000
Llama-2-7b-hf,hqq,b4g128,4.13,,5.3477,7.1605,3.65,3.6,21.988754272460938,7000000000
Meta-Llama-3-8B,hqq,b8g64,8.25,,6.0122,9.3414,8.66,8.66,,8000000000
Llama-2-7b-hf,hqq,b4g64,4.25,,5.3087,7.1184,3.74,3.7,20.24692916870117,7000000000
Meta-Llama-3-8B,hqq,b4g64,4.25,,6.1929,9.6053,5.41,5.41,27.83445835113525,8000000000
Llama-2-7b-hf,hqq,b8g32,8.51,,5.2178,6.9972,7,6.9,17.16417956352234,7000000000
Llama-2-13b-hf,hqq,b4g32,4.51,,4.6916,6.5129,7.3,7.27,46.37011647224426,13000000000
Meta-Llama-3-8B,hqq,b3g64,3.25,,7.8081,12.3615,5.02,5.01,27.30276918411255,8000000000
Meta-Llama-3-8B,hqq,b4g32,4.51,,6.0738,9.4091,5.65,5.62,21.84357762336731,8000000000
Meta-Llama-3-8B,hqq,b4g128,4.13,,6.3786,9.9358,5.31,5.31,30.85788106918335,8000000000
Llama-2-7b-hf,hqq,b8g64,8.25,,5.2169,6.9772,6.81,6.71,19.32092261314392,7000000000
Meta-Llama-3-8B,hqq,b3g128,3.13,,9.3077,14.8934,4.71,4.7,29.502231121063232,8000000000
Llama-2-13b-hf,hqq,b3g32,3.51,,4.8894,6.7812,7.3,7.27,52.36325001716614,13000000000
Llama-2-13b-hf,hqq,b3g64,3.25,,4.9847,6.9391,6.22,6.16,52.09609436988831,13000000000
Llama-2-7b-hf,hqq,b3g128,3.13,,6.2021,8.3973,3.11,3.04,23.767679691314697,7000000000
Llama-2-13b-hf,hqq,b8g32,8.51,,4.6474,6.4709,13.39,13.18,47.807037115097046,13000000000
Llama-2-13b-hf,hqq,b8g128,8.13,,4.6401,6.4605,12.83,12.62,44.79381275177002,13000000000
Meta-Llama-3-8B,hqq,b8g32,8.51,,6.0772,9.422,8.87,8.87,22.836755990982056,8000000000
Llama-2-7b-hf,hqq,b3g32,3.51,,5.628,7.5494,3.93,3.89,21.869824409484863,7000000000
Llama-2-7b-hf,hqq,b3g64,3.25,,5.8224,7.8095,3.32,3.32,22.90697860717773,7000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-2-0,4.7362,6.5639,6.78,6.75,40.27685928344727,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-2-0,7.0644,11.1097,5.64,5.61,24.40850782394409,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-2-0,4.961,6.9044,6.27,6.2,46.01725053787232,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-2-0,5.1279,7.103,5.8,5.74,57.03396201133728,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-2-0,6.0729,9.4106,5.74,5.72,27.42883038520813,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-2-0,5.5996,7.5068,3.92,3.87,21.375247716903687,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-2-0,5.3413,7.1545,3.67,3.63,21.349449157714844,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-2-0,7.7778,12.2845,5.03,5.02,26.991230010986328,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-2-0,4.6922,6.5315,7.48,7.38,38.54062557220459,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-2-0,5.2768,7.0646,4.18,4.13,18.560681581497192,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-2-0,5.2995,7.1071,4,3.95,19.69670081138611,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-2-0,5.7895,7.741,3.35,3.34,22.424458265304565,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-2-0,4.6897,6.5097,7.78,7.74,37.29238486289978,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-2-0,6.1933,9.5947,5.51,5.51,25.40105700492859,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-2-0,9.2342,14.8003,4.74,4.73,29.365660667419437,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-2-0,4.8844,6.7575,7.27,7.24,44.07846784591675,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-2-0,6.1776,8.3518,3.18,3.11,23.400866270065308,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-2-0,6.371,9.9285,5.32,5.32,30.47463130950928,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-2-1,4.7364,6.5682,6.75,6.72,40.63401055335999,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-2-1,7.082,11.1391,5.65,5.62,24.350432872772217,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-2-1,4.9794,6.9255,6.23,6.17,44.64760255813599,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-2-1,5.1445,7.125,5.71,5.64,44.96905446052551,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-2-1,6.0716,9.4081,5.68,5.66,27.03556561470032,8000000000
