module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
input_layernorm,5120,0,1.7881393432617188e-07,0.15690429687500274,0.4218300781250104,0.542202148437438,0.6171875,115.19229821807312
input_layernorm,5120,1,6.4373016357421875e-06,0.30859375,0.400390625,0.43540742187499504,0.44140625,12.369550622496835
input_layernorm,5120,2,4.172325134277344e-05,0.2080078125,0.36649023437500183,0.44884687499998677,0.46484375,26.924861740543587
input_layernorm,5120,3,1.3768672943115234e-05,0.21251953125000078,0.3902539062500061,0.4413132812499967,0.4453125,48.746295894399196
input_layernorm,5120,4,6.29425048828125e-05,0.353515625,0.4940019531250055,0.5214378906249983,0.5234375,18.140669036184004
input_layernorm,5120,5,1.6093254089355469e-06,0.3668164062500008,0.51171875,0.53125,0.53125,24.036817810796055
input_layernorm,5120,6,0.0001697540283203125,0.33203125,0.50390625,0.5428757812499967,0.546875,49.30448294412581
input_layernorm,5120,7,0.00013065338134765625,0.3046875,0.5625,0.6203499999999735,0.65234375,90.8625803965745
input_layernorm,5120,8,0.033203125,0.333984375,0.55859375,0.6146300781249785,0.640625,67.89863666509031
input_layernorm,5120,9,0.03466796875,0.3687695312500008,0.6084453125000024,0.6384394531249917,0.6484375,64.60007993798997
input_layernorm,5120,10,0.038330078125,0.365234375,0.6378359375000073,0.671875,0.671875,76.73067055055985
input_layernorm,5120,11,0.0439453125,0.3515625,0.640625,0.7086589843749884,0.72265625,92.37183628588947
input_layernorm,5120,12,0.04736328125,0.37890625,0.6925234375000073,0.7477214843749884,0.76171875,87.66558083392226
input_layernorm,5120,13,0.043212890625,0.4097851562500008,0.698941406250011,0.7400019531249917,0.75,80.15517069144607
input_layernorm,5120,14,0.048828125,0.40234375,0.6987539062500012,0.7725078124999669,0.8125,101.60131775686149
input_layernorm,5120,15,0.048583984375,0.39453125,0.6968945312500061,0.7568828124999669,0.796875,106.82496659999069
input_layernorm,5120,16,0.045166015625,0.4156445312500008,0.6578320312500061,0.737072656249957,0.7890625,96.65420398427064
input_layernorm,5120,17,0.039794921875,0.41015625,0.64453125,0.7119144531249653,0.75390625,107.82826777079828
input_layernorm,5120,18,0.035888671875,0.4140625,0.6196992187500037,0.6908484374999802,0.71484375,119.8538231151426
input_layernorm,5120,19,0.037353515625,0.4273632812500008,0.6587617187500037,0.7379093749999868,0.75390625,120.73114747136187
input_layernorm,5120,20,0.040283203125,0.416015625,0.6401601562500012,0.704938671874995,0.7109375,115.52689975464754
input_layernorm,5120,21,0.040283203125,0.4332226562500008,0.65625,0.7381882812499967,0.7421875,114.31842372490944
input_layernorm,5120,22,7.43865966796875e-05,0.44921875,0.6167226562500012,0.7027531249999868,0.71875,158.8061289387402
input_layernorm,5120,23,0.0001239776611328125,0.455078125,0.6778281250000049,0.7672527343749884,0.78125,134.82336024836422
input_layernorm,5120,24,0.00012874603271484375,0.45703125,0.6484375,0.755719921874995,0.76171875,144.8692672758434
input_layernorm,5120,25,1.990795135498047e-05,0.4765625,0.6796875,0.8135699218749686,0.8515625,160.9151337655527
input_layernorm,5120,26,0.02490234375,0.474609375,0.70703125,0.8643511718749686,0.90234375,156.55283025206316
input_layernorm,5120,27,5.054473876953125e-05,0.5078125,0.6939179687500037,0.8375652343749884,0.8515625,170.36505586723126
input_layernorm,5120,28,0.000247955322265625,0.5078125,0.7407929687500037,0.8899742187499768,0.91796875,148.02286897766496
input_layernorm,5120,29,2.682209014892578e-05,0.51953125,0.7120546875000073,0.9155972656249851,0.93359375,197.53537926840664
input_layernorm,5120,30,9.870529174804688e-05,0.54296875,0.7442343750000049,0.9430339843749884,0.95703125,194.89315377595835
input_layernorm,5120,31,2.5033950805664062e-06,0.51953125,0.7481406250000049,0.9704707031249917,0.98046875,187.0869455811982
input_layernorm,5120,32,6.0558319091796875e-05,0.5390625,0.8003164062500012,0.9781902343749884,0.9921875,169.3059319728618
input_layernorm,5120,33,1.990795135498047e-05,0.5234375,0.7876679687500037,0.96875,0.96875,168.35761388546143
input_layernorm,5120,34,0.000110626220703125,0.5461328125000016,0.8623515625000024,1.0390625,1.0390625,145.27002029329947
input_layernorm,5120,35,0.00011539459228515625,0.52734375,0.8400312500000098,1.0263210937499636,1.0703125,147.01938605860462
input_layernorm,5120,36,0.000156402587890625,0.5234375,0.8857890625000024,1.178757812499967,1.21875,157.5306290982209
input_layernorm,5120,37,0.042236328125,0.515625,0.9082968750000049,1.0074406249999868,1.0234375,99.48358899042827
input_layernorm,5120,38,0.0390625,0.515625,0.9748906250000147,1.0966335937499636,1.140625,113.07107647816161
input_layernorm,5120,39,0.0703125,0.482421875,0.9420585937500086,1.0663132812499967,1.0703125,82.43049730098706
mlp.down_proj,70778880,0,0.0,0.042236328125,0.05615234375,0.08251953125,2.40625,14.052663070569466
mlp.down_proj,70778880,1,0.0,0.044189453125,0.05712890625,0.07177734375,1.859375,6.31968660475201
mlp.down_proj,70778880,2,0.0,0.044677734375,0.057373046875,0.06982421875,0.57421875,3.275261780947932
mlp.down_proj,70778880,3,0.0,0.044921875,0.0576171875,0.0712890625,1.578125,9.500845348313662
mlp.down_proj,70778880,4,0.0,0.044921875,0.0576171875,0.06982421875,0.58203125,3.1665068249588635
mlp.down_proj,70778880,5,0.0,0.044677734375,0.057373046875,0.0693359375,0.6171875,3.2328986745567874
mlp.down_proj,70778880,6,0.0,0.04443359375,0.05712890625,0.06884765625,0.625,3.2297373677424512
mlp.down_proj,70778880,7,0.0,0.04443359375,0.057373046875,0.0693359375,0.99609375,4.681598217347249
