module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
input_layernorm,16384,0,9.080395102500916e-08,0.006627502441406252,0.08068066406250196,0.17093994140619273,0.2431640625,742.786513910469
input_layernorm,16384,1,2.2910535335540771e-07,0.1025390625,0.1591796875,0.18756230468746793,0.2314453125,39.34780028857095
input_layernorm,16384,2,7.636845111846924e-08,0.044189453125,0.1196704101562549,0.18461181640619273,0.294921875,124.74440712598249
input_layernorm,16384,3,9.720679372549057e-09,0.06893066406250004,0.146484375,0.23169462890622938,0.291015625,63.58444825671112
input_layernorm,16384,4,6.984919309616089e-08,0.045981445312500036,0.12448046875000784,0.19909404296870647,0.259765625,100.53966036762387
input_layernorm,16384,5,6.295740604400635e-07,0.05350830078125002,0.11155664062500392,0.14496757812499084,0.1533203125,46.339539417166144
input_layernorm,16384,6,4.291534423828125e-06,0.1484375,0.1787109375,0.1962890625,0.2099609375,6.864283497884108
input_layernorm,16384,7,4.112720489501953e-06,0.203125,0.2578125,0.2819564453124954,0.283203125,9.091141508507432
input_layernorm,16384,8,5.5730342864990234e-06,0.14453125,0.181640625,0.23703457031249542,0.24609375,13.40327842584725
input_layernorm,16384,9,3.9637088775634766e-06,0.1787109375,0.21349316406250196,0.24289394531249542,0.2470703125,9.754486374280164
input_layernorm,16384,10,2.2649765014648438e-06,0.1455078125,0.1943359375,0.24875332031249542,0.251953125,13.712565893383136
input_layernorm,16384,11,4.857778549194336e-06,0.1376953125,0.18772851562500392,0.23051025390619273,0.25,13.975798080805728
input_layernorm,16384,12,2.652406692504883e-06,0.173828125,0.23046875,0.2664976562499817,0.294921875,11.063867047240128
input_layernorm,16384,13,2.6971101760864258e-06,0.11922363281250004,0.21739941406250196,0.2780501953124954,0.28515625,46.226908985266085
input_layernorm,16384,14,1.0907649993896484e-05,0.13297851562500007,0.2060546875,0.2496259765624771,0.259765625,22.514780127111592
input_layernorm,16384,15,4.887580871582031e-06,0.0625,0.13634472656250196,0.1991979492187248,0.2119140625,79.85555451884922
input_layernorm,16384,16,8.463859558105469e-06,0.13883789062500007,0.21507226562500392,0.2684507812499817,0.27734375,16.555565643526677
input_layernorm,16384,17,1.1324882507324219e-05,0.11767578125,0.20470410156250196,0.27734375,0.298828125,36.065936213026134
input_layernorm,16384,18,1.043081283569336e-05,0.1611328125,0.22506640625000784,0.3000332031249542,0.314453125,9.941463721940366
input_layernorm,16384,19,1.823902130126953e-05,0.1708984375,0.24970898437501177,0.3254238281249542,0.33984375,11.736260117931403
input_layernorm,16384,20,2.562999725341797e-06,0.1611328125,0.2590175781250039,0.33963593749996335,0.3515625,20.186241654622844
input_layernorm,16384,21,4.589557647705078e-06,0.07421875,0.20050683593751373,0.29010136718746793,0.314453125,191.39469524363102
input_layernorm,16384,22,1.2814998626708984e-05,0.107421875,0.24249902343751373,0.3346908203124954,0.35546875,85.93152233672097
input_layernorm,16384,23,1.7061829566955566e-06,0.11531738281250004,0.24655078125000784,0.35650761718746793,0.365234375,102.7004177755054
input_layernorm,16384,24,9.834766387939453e-07,0.07763671875,0.20185742187501177,0.30996503906244044,0.333984375,269.1990364889913
input_layernorm,16384,25,1.3053417205810547e-05,0.0791015625,0.2490234375,0.34516289062499084,0.37109375,287.1910424052261
input_layernorm,16384,26,1.3336539268493652e-06,0.1044921875,0.23310742187501177,0.3368101562499817,0.365234375,167.38482299505378
input_layernorm,16384,27,1.9550323486328125e-05,0.1298828125,0.2626328125000157,0.360039843749945,0.404296875,100.04956097842613
input_layernorm,16384,28,1.2695789337158203e-05,0.119140625,0.28125,0.375,0.40625,129.01581247065863
input_layernorm,16384,29,4.5299530029296875e-06,0.11376953125,0.271484375,0.3582529296874313,0.392578125,141.2019852921034
input_layernorm,16384,30,9.119510650634766e-06,0.12109375,0.28561328125000784,0.37125996093748626,0.419921875,112.65585134271382
input_layernorm,16384,31,8.821487426757812e-06,0.087890625,0.21702539062500392,0.2886884765624771,0.34765625,217.9203855914105
input_layernorm,16384,32,1.8328428268432617e-06,0.11962890625,0.2687832031250039,0.3597074218749725,0.41796875,112.7184179577165
input_layernorm,16384,33,5.7220458984375e-05,0.1494140625,0.3176113281250039,0.3792386718749725,0.474609375,108.18731951699077
input_layernorm,16384,34,0.0230712890625,0.1650390625,0.322265625,0.3815658203124954,0.48046875,68.06131270053093
input_layernorm,16384,35,0.0478515625,0.15055664062500007,0.318359375,0.42004648437493586,0.45703125,114.25834090474576
input_layernorm,16384,36,0.05224609375,0.193359375,0.3312832031250039,0.45416386718746793,0.46484375,94.67717398533748
input_layernorm,16384,37,0.060302734375,0.1865234375,0.3388046875000157,0.4460189453124954,0.462890625,154.9862207703996
input_layernorm,16384,38,0.0556640625,0.197265625,0.361328125,0.45719746093748626,0.478515625,139.61054760285003
input_layernorm,16384,39,0.055908203125,0.1982421875,0.3876328125000157,0.49709101562491753,0.5234375,182.68212564360365
input_layernorm,16384,40,0.07421875,0.1953125,0.3739609375000157,0.47170039062491753,0.50390625,174.8474539372393
input_layernorm,16384,41,0.080078125,0.224609375,0.3859707031250039,0.4741937499999267,0.53515625,144.02435723967105
input_layernorm,16384,42,0.07666015625,0.22770507812500007,0.40234375,0.5064826171873946,0.5390625,161.94082743993715
input_layernorm,16384,43,0.0751953125,0.2216796875,0.3879238281250039,0.4933509765624038,0.53125,180.72423535343148
input_layernorm,16384,44,0.0810546875,0.2373046875,0.3918300781250039,0.5056515624999633,0.5234375,159.0447366795139
