model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-B-32-laion2B-s34B-b79K,fp16,baseline,base,16,852.7548828125,932,0.66532,0.89882,0.6654800000000001,54.06568670272827
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g16,3.02,356.20166015625,482,0.2082,0.42142,0.20824,55.585845947265625
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g32,2.51,346.45166015625,472,0.03466,0.10196,0.0346599999999999,55.27143859863281
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b2g64,2.25,341.57666015625,468,0.00432,0.01842,0.0043199999999999,55.39458394050598
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g128,3.13,350.85791015625,478,0.48216,0.75936,0.48212,55.475133180618286
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g32,3.51,358.17041015625,486,0.59646,0.85714,0.5963800000000001,55.75628423690796
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b3g64,3.25,353.29541015625,480,0.55212,0.8225,0.5520999999999999,55.792211055755615
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g128,4.13,360.51416015625,492,0.6336,0.88038,0.63378,54.87774586677551
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g32,4.51,367.82666015625,498,0.65104,0.89042,0.65104,54.93807101249695
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b4g64,4.25,362.95166015625,494,0.64332,0.8853,0.64356,54.83751654624939
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g128,8.13,397.63916015625,530,0.66534,0.89942,0.6654200000000001,54.8525972366333
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g32,8.51,404.95166015625,536,0.6654,0.89884,0.66546,54.72842717170715
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,baseline,b8g64,8.25,400.07666015625,532,0.66554,0.89904,0.6655399999999999,54.495078802108765
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,2_25,2.25,341.70166015625,468,0.01932,0.05584,0.0192199999999999,56.08286595344544
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,2_51,2.51,346.70166015625,472,0.0732,0.18552,0.07334,55.82830572128296
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_02,3.02,356.06494140625,482,0.26516,0.51184,0.2649199999999999,56.04820227622986
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_13,3.13,350.92041015625,478,0.457,0.73358,0.45686,56.08222246170044
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_25,3.25,353.42041015625,480,0.5243,0.79824,0.52446,56.32216906547546
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,3_51,3.51,358.18212890625,486,0.57196,0.83854,0.5720599999999999,56.56859731674194
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_13,4.13,360.57666015625,492,0.63292,0.88094,0.6328600000000001,55.74461054801941
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_25,4.25,363.07666015625,494,0.64286,0.88546,0.64288,55.695292711257935
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,4_51,4.51,368.63916015625,500,0.65226,0.89102,0.65226,55.74473214149475
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_13,8.13,397.70166015625,530,0.6655,0.89898,0.6654200000000001,56.49666166305542
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,57.2969913482666
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-1,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,55.702006816864014
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,2_25,2.25,341.70166015625,468,0.01932,0.05584,0.0192199999999999,59.73354148864746
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,2_51,2.51,346.70166015625,472,0.0732,0.18552,0.07334,56.131890058517456
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_02,3.02,356.06494140625,482,0.26516,0.51184,0.2649199999999999,56.1289701461792
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_13,3.13,350.92041015625,478,0.457,0.73358,0.45686,56.99899482727051
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_25,3.25,353.42041015625,480,0.5243,0.79824,0.52446,56.93271088600159
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,3_51,3.51,358.18212890625,486,0.57196,0.83854,0.5720599999999999,58.46709322929382
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,4_13,4.13,360.57666015625,492,0.63292,0.88094,0.6328600000000001,55.35943078994751
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,4_25,4.25,363.07666015625,494,0.64286,0.88546,0.64288,55.82127690315247
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,4_51,4.51,368.63916015625,500,0.65226,0.89102,0.65226,56.30464053153992
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_13,8.13,397.70166015625,530,0.6655,0.89898,0.6654200000000001,55.887635707855225
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,55.74659085273743
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-2,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,56.16912460327149
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,2_25,2.25,341.70166015625,468,0.01932,0.05584,0.0192199999999999,56.4390664100647
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,2_51,2.51,346.70166015625,472,0.0732,0.18552,0.07334,56.06730818748474
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_02,3.02,356.06494140625,482,0.26516,0.51184,0.2649199999999999,55.40081739425659
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_13,3.13,350.92041015625,478,0.457,0.73358,0.45686,56.26855707168579
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_25,3.25,353.42041015625,480,0.5243,0.79824,0.52446,59.280118227005005
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,3_51,3.51,358.18212890625,486,0.57196,0.83854,0.5720599999999999,56.589823484420776
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_13,4.13,360.57666015625,492,0.63292,0.88094,0.6328600000000001,55.66573119163513
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_25,4.25,363.07666015625,494,0.64286,0.88546,0.64288,58.4063766002655
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,4_51,4.51,368.63916015625,500,0.65226,0.89102,0.65226,55.58545732498169
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_13,8.13,397.70166015625,530,0.6655,0.89898,0.6654200000000001,55.53647494316101
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,55.61443519592285
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-1-3,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,55.9664990901947
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,2_25,2.25,341.95166015625,468,0.01748,0.05446,0.01738,55.22075891494751
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,2_51,2.51,346.56494140625,472,0.0762,0.1921,0.07612,56.08037257194519
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_02,3.02,356.12744140625,482,0.26514,0.5117,0.26496,55.42599558830261
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_13,3.13,351.04541015625,478,0.45674,0.73418,0.4567,56.0308883190155
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_25,3.25,353.43212890625,480,0.52616,0.79988,0.52616,56.10409045219421
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,3_51,3.51,358.24462890625,486,0.57198,0.8387,0.57224,56.07775783538818
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_13,4.13,360.70166015625,492,0.63378,0.88078,0.6333200000000001,55.72699952125549
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_25,4.25,363.88916015625,494,0.64354,0.88564,0.64354,55.19413757324219
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,4_51,4.51,368.70166015625,500,0.65204,0.8911,0.6522,55.96046233177185
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_13,8.13,397.82666015625,530,0.66552,0.89896,0.6655,54.87480521202088
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,55.44998025894165
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-1,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,54.904388427734375
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,2_25,2.25,341.95166015625,468,0.01748,0.05446,0.01738,56.738608837127686
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,2_51,2.51,346.56494140625,472,0.0762,0.1921,0.07612,55.65191960334778
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_02,3.02,356.12744140625,482,0.26514,0.5117,0.26496,55.247875690460205
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_13,3.13,351.04541015625,478,0.45674,0.73418,0.4567,56.20130062103272
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_25,3.25,353.43212890625,480,0.52616,0.79988,0.52616,56.08432197570801
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,3_51,3.51,358.24462890625,486,0.57198,0.8387,0.57224,55.82920718193054
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_13,4.13,360.70166015625,492,0.63378,0.88078,0.6333200000000001,55.25337433815002
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_25,4.25,363.88916015625,494,0.64354,0.88564,0.64354,55.01493573188782
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,4_51,4.51,368.70166015625,500,0.65204,0.8911,0.6522,55.329487323760986
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_13,8.13,397.82666015625,530,0.66552,0.89896,0.6655,55.35147309303284
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,54.62213826179504
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-2,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,55.4985876083374
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,2_25,2.25,341.95166015625,468,0.01748,0.05446,0.01738,58.016769886016846
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,2_51,2.51,346.56494140625,472,0.0762,0.1921,0.07612,55.65753865242005
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_02,3.02,356.12744140625,482,0.26514,0.5117,0.26496,55.61212491989136
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_13,3.13,351.04541015625,478,0.45674,0.73418,0.4567,56.25815677642822
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_25,3.25,353.43212890625,480,0.52616,0.79988,0.52616,56.23059415817261
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,3_51,3.51,358.24462890625,486,0.57198,0.8387,0.57224,56.32101893424988
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_13,4.13,360.70166015625,492,0.63378,0.88078,0.6333200000000001,55.20839405059815
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_25,4.25,363.88916015625,494,0.64354,0.88564,0.64354,55.60943412780762
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,4_51,4.51,368.70166015625,500,0.65204,0.8911,0.6522,55.58384251594544
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_13,8.13,397.82666015625,530,0.66552,0.89896,0.6655,55.19412541389465
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_25,8.25,400.20166015625,532,0.66518,0.89902,0.66534,55.250081062316895
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_51,8.51,404.95166015625,536,0.66554,0.899,0.6656,55.41306519508362
CLIP-ViT-H-14-laion2B-s32B-b79K,fp16,baseline,base,16,5556.08984375,5768,0.77952,0.9523,0.7793000000000001,213.8021674156189
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g16,3.02,2124.37158203125,2678,0.74628,0.93934,0.74646,234.91789937019348
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g32,2.51,2050.37158203125,2582,0.71986000000000006,0.9277,0.7203,233.6767327785492
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g64,2.25,2013.37158203125,2546,0.67266,0.90354,0.6725,234.00782084465027
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g128,3.13,2086.72265625,2616,0.7645,0.94732,0.7647600000000001,237.69532561302185
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g32,3.51,2142.22265625,2672,0.77086,0.9504,0.7711600000000001,238.15288925170896
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g64,3.25,2105.22265625,2634,0.76832,0.94776,0.76828,237.7055759429932
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g128,4.13,2142.18212890625,2684,0.77672,0.95176,0.77676,232.67711782455444
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g32,4.51,2197.68212890625,2740,0.77814,0.95144,0.7782,233.6429190635681
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g64,4.25,2160.68212890625,2702,0.77722,0.95152,0.77734,232.7279989719391
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g128,8.13,2438.18212890625,2996,0.77934,0.95236,0.77934,233.09771299362183
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g32,8.51,2493.68212890625,3052,0.7798,0.95234,0.7796000000000001,233.1884293556213
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g64,8.25,2456.68212890625,3014,0.7796,0.95236,0.7794800000000001,233.69635581970212
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,2_25,2.25,2013.58837890625,2548,0.65188,0.89106,0.65152,233.8745872974396
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,2_51,2.51,2051.86962890625,2586,0.69972,0.9191,0.6998600000000001,233.4659595489502
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_02,3.02,2121.82275390625,2678,0.7356,0.93486,0.7354400000000001,234.58212900161743
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_13,3.13,2086.11328125,2616,0.76434,0.94608,0.76444,237.7229104042053
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_25,3.25,2105.25390625,2636,0.7677,0.94762,0.76768,238.7807414531708
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_51,3.51,2142.3505859375,2670,0.77034,0.94964,0.7701999999999999,238.1301589012146
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_13,4.13,2142.94775390625,2684,0.77732,0.95162,0.77736,234.37595176696777
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_25,4.25,2162.08837890625,2704,0.77674,0.95152,0.77678,233.07436871528623
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_51,4.51,2206.63525390625,2750,0.77808,0.95142,0.7779200000000001,233.25543642044067
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_13,8.13,2439.01220703125,2990,0.77956,0.95224,0.7794,233.748551607132
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_25,8.25,2458.15283203125,3010,0.77944,0.95238,0.7793199999999999,235.21218180656436
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_51,8.51,2493.87158203125,3046,0.77938,0.95238,0.7794000000000001,233.62295937538147
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,2_25,2.25,2014.86962890625,2548,0.65362,0.89148,0.65358,233.94957184791565
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,2_51,2.51,2054.43212890625,2588,0.70018,0.91904,0.69996,233.6301851272583
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_02,3.02,2121.83837890625,2674,0.73572,0.93536,0.73568,234.942223072052
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_13,3.13,2086.75390625,2616,0.764,0.94644,0.76406,238.09004616737369
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_25,3.25,2106.53515625,2636,0.76754,0.94766,0.7673000000000001,238.05631113052368
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_51,3.51,2140.92236328125,2676,0.77106,0.95042,0.7711600000000001,237.74711799621585
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_13,4.13,2143.58837890625,2684,0.777,0.9515,0.7771,233.23677730560303
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_25,4.25,2163.36962890625,2704,0.77676,0.95132,0.7769000000000001,233.3747479915619
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_51,4.51,2213.96337890625,2756,0.7781,0.9516,0.77818,234.85761952400208
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_13,8.13,2439.65283203125,2990,0.77954,0.95234,0.77938,233.30609130859372
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_25,8.25,2459.43408203125,3010,0.77944,0.9523,0.77924,234.5414454936981
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_51,8.51,2493.87158203125,3046,0.77938,0.95238,0.7794000000000001,234.5745620727539
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,2_25,2.25,2015.65087890625,2550,0.6555,0.8932,0.6553199999999999,233.4289939403534
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,2_51,2.51,2055.99462890625,2590,0.69926,0.91926,0.69898,233.76659750938416
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,3_02,3.02,2120.85400390625,2670,0.73656,0.9353,0.73664,235.1987950801849
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,3_13,3.13,2087.14453125,2618,0.76482000000000006,0.94642,0.76486,237.63730573654172
