model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-2B,hqq,b8g32,8.51,,11.6727,16.8477,4.26,4.26,2.9126694202423096,2000000000
Qwen3.5-9B,hqq,b8g64,8.25,,8.2468,11.6849,12.9,12.9,18.58454728126526,9000000000
Qwen3.5-9B,hqq,b4g64,4.25,,8.5449,11.9417,10.43,10.43,19.95913004875183,9000000000
Qwen3.5-9B,hqq,b2g64,2.25,,174.843,176.5975,9.2,9.2,19.05396413803101,9000000000
Qwen3.5-2B,hqq,b3g64,3.25,,14.7433,20.7189,3.65,3.65,3.305943727493286,2000000000
Qwen3.5-2B,hqq,b2g16,3.02,,25.4173,33.0995,3.68,3.68,3.2044620513916016,2000000000
Qwen3.5-9B,hqq,b3g32,3.51,,9.224,12.6108,10.25,10.24,21.77856707572937,9000000000
Qwen3.5-4B,hqq,b2g64,2.25,,49.172,61.6054,5.62,5.62,8.68039846420288,4000000000
Qwen3.5-4B,hqq,b4g128,4.13,,9.4226,13.8313,6.14,6.14,9.779460668563845,4000000000
Qwen3.5-4B,hqq,b3g32,3.51,,10.1777,14.5357,6.13,6.12,9.729926824569702,4000000000
Qwen3.5-2B,hqq,b4g64,4.25,,12.3989,17.6626,3.74,3.74,3.259502410888672,2000000000
Qwen3.5-9B,hqq,b3g128,3.13,,8.8892,13.6882,9.78,9.78,23.26959872245789,9000000000
Qwen3.5-4B,hqq,b8g32,8.51,,9.1452,13.3912,7.56,7.55,7.975534915924072,4000000000
Qwen3.5-9B,hqq,b3g64,3.25,,9.4473,13.1499,9.94,9.94,21.89649534225464,9000000000
Qwen3.5-9B,hqq,b8g32,8.51,,8.2396,11.6862,13.21,13.21,16.984254121780396,9000000000
Qwen3.5-2B,hqq,b4g32,4.51,,11.9541,17.3535,3.8,3.8,3.1990320682525635,2000000000
Qwen3.5-4B,hqq,b8g64,8.25,,9.1606,13.3917,7.41,7.41,8.434076309204102,4000000000
Qwen3.5-4B,hqq,b3g128,3.13,,10.7862,15.7781,5.9,5.9,9.647890329360962,4000000000
Qwen3.5-2B,hqq,b2g32,2.51,,50.5691,62.4298,3.57,3.57,3.3378498554229736,2000000000
Qwen3.5-4B,hqq,b8g128,8.13,,9.1418,13.3923,7.33,7.33,7.469387531280518,4000000000
Qwen3.5-2B,hqq,b8g64,8.25,,11.6834,16.851,4.2,4.2,2.833146333694458,2000000000
Qwen3.5-9B,hqq,b2g16,3.02,,13.3256,18.1732,10.12,10.12,18.145265102386475,9000000000
Qwen3.5-4B,hqq,b4g64,4.25,,9.3762,13.7116,6.21,6.21,9.583334922790527,4000000000
Qwen3.5-9B,hqq,b4g32,4.51,,8.4251,11.8977,10.74,10.74,18.97926139831543,9000000000
Qwen3.5-2B,hqq,b3g128,3.13,,16.5348,22.7264,3.62,3.62,3.156493186950684,2000000000
Qwen3.5-4B,hqq,b2g32,2.51,,23.0058,28.1977,5.77,5.77,8.18926453590393,4000000000
Qwen3.5-9B,hqq,b2g32,2.51,,25.7023,36.6323,9.5,9.5,18.458730459213257,9000000000
Qwen3.5-9B,hqq,b8g128,8.13,,8.2395,11.6865,12.74,12.74,15.849071979522703,9000000000
Qwen3.5-2B,hqq,b3g32,3.51,,13.2129,19.3689,3.71,3.7,3.248537540435791,2000000000
Qwen3.5-4B,hqq,b4g32,4.51,,9.2625,13.6249,6.36,6.36,8.857075691223145,4000000000
