model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Qwen3.5-2B,mlp.gate_proj,2,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,13,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,3,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,7,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.q_proj,19,17.015625,33554432,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,16,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,23,24.76171875,50331648,3.25,4,128,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,17,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.k_proj,3,0.4339964985847473,1118848,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,21,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,11,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.v_proj,7,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.o_proj,3,1.7355143129825592,4474176,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,0,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.q_proj,3,3.4710286259651184,8948352,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,11,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.v_proj,15,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,6,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,12,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,14,24.76171875,50331648,3.25,4,128,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,11,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.o_proj,11,8.5078125,16777216,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,20,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,9,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,8,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,7,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.k_proj,7,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
